IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,195.77",861.31,"1,114.16",384.11,310.75
매출원가,"1,005.73",693.46,909.56,335.48,244.99
매출총이익,190.04,167.85,204.60,48.63,65.76
판매비와관리비,135.60,100.75,104.29,34.84,27.13
인건비,54.51,46.14,51.20,18.82,13.45
유무형자산상각비,7.29,5.35,5.44,2.29,1.34
연구개발비,17.99,14.78,13.91,3.15,3.57
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,12.30,1.12,1.10,0.03,0.34
관리비,32.43,21.65,21.63,6.71,4.83
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,11.08,11.70,11.02,3.83,3.60
영업이익,54.44,67.10,100.31,13.80,38.63
영업이익(발표기준),54.44,67.10,100.31,13.80,38.63
금융수익,9.23,51.71,65.12,5.03,13.19
이자수익,0.54,1.11,2.23,0.10,0.06
배당금수익,0.41,0.90,0.94,0.37,0.34
외환이익,1.41,4.92,37.77,1.13,10.72
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.46,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.29,2.06,0.05,2.06
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,2.28,44.39,22.11,3.39,0.0
기타금융수익,0.12,0.11,0.01,0.0,0.0
금융원가,170.08,72.25,83.96,18.24,18.36
이자비용,52.28,67.67,73.01,17.33,17.96
외환손실,3.38,4.18,1.43,0.92,0.40
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.20,0.06,9.51,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,114.03,0.0,0.0,0.0,0.0
기타금융원가,0.18,0.34,0.01,0.0,0.0
기타수익,52.44,48.30,67.09,7.09,25.55
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,40.72,46.77,63.42,6.78,25.40
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.18,0.23,1.01,0.19,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.29,0.80,0.92,0.04,0.11
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.26,0.50,1.75,0.08,0.03
기타비용,43.57,60.93,52.85,9.85,23.59
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,39.32,58.05,52.28,9.37,23.46
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.10,0.0,0.09,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.02,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-1.37,0.03,0.03,0.00,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.50,1.83,0.46,0.49,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-97.53,33.93,95.71,-2.18,35.42
법인세비용,-1.28,0.55,9.22,-0.00,-0.00
계속영업이익,-96.26,33.38,86.49,-2.18,35.42
중단영업이익,-20.75,-23.61,-44.56,-2.95,-4.24
당기순이익,-117.01,9.76,41.93,-5.12,31.18
지배주주순이익,-108.02,12.19,40.72,-5.12,31.30
비지배주주순이익,-8.99,-2.42,1.21,0.0,-0.11
