IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,548.57","1,094.74",672.79,126.30,70.13
매출원가,979.62,759.10,486.47,91.34,65.52
매출총이익,568.96,335.65,186.32,34.96,4.61
판매비와관리비,313.73,353.11,354.46,101.13,88.94
인건비,114.41,108.87,114.59,30.69,28.20
유무형자산상각비,13.88,16.93,16.76,3.95,4.37
연구개발비,85.28,101.79,118.82,30.16,28.50
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,26.05,27.67,11.02,0.97,-0.44
관리비,60.22,78.98,75.33,31.34,22.75
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,13.89,18.86,17.96,4.02,5.56
영업이익,255.22,-17.46,-168.15,-66.17,-84.33
영업이익(발표기준),255.22,-17.46,-168.15,-66.17,-84.33
금융수익,53.49,43.37,56.24,6.06,20.97
이자수익,13.70,22.20,18.84,3.63,5.80
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,39.79,21.17,37.40,2.44,15.17
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,18.03,6.97,0.66,0.59,0.17
이자비용,0.87,0.65,0.41,0.09,0.08
외환손실,17.17,6.32,0.25,0.50,0.09
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,39.32,40.84,42.26,4.48,14.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.02,0.71,0.87,0.0,0.53
외환이익,24.43,23.81,34.00,0.14,13.23
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,14.26,1.43,0.36,0.21
자산처분(폐기)이익,13.81,0.17,0.37,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.11,1.55,0.37,2.98,0.24
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.95,0.33,5.21,0.99,0.18
기타비용,28.72,12.31,14.72,4.79,3.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,14.11,8.31,1.37,1.37,0.29
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,7.06,1.12,6.38,0.57,1.45
자산처분(폐기)손실,0.00,0.01,0.22,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.19,0.0,0.0,0.0
파생상품손실,5.89,1.37,5.69,2.76,1.23
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.66,0.32,1.06,0.09,0.11
"종속기업,공동지배기업및관계기업관련손익",14.80,10.54,-1.18,1.35,-0.90
지분법손익,0.0,-5.37,-1.18,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,15.91,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,14.80,0.0,0.0,1.35,-0.90
세전계속사업이익,316.08,58.01,-86.20,-59.65,-53.12
법인세비용,23.14,22.62,-14.78,-9.10,-1.37
계속영업이익,292.94,35.39,-71.42,-50.55,-51.75
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,292.94,35.39,-71.42,-50.55,-51.75
지배주주순이익,292.94,35.39,-71.42,-50.55,-51.75
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
