IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,824.60,732.18,801.63,158.79,178.58
매출원가,708.75,632.72,673.60,146.27,148.04
매출총이익,115.84,99.47,128.04,12.52,30.54
판매비와관리비,131.74,125.35,121.60,31.70,30.77
인건비,47.18,46.48,44.51,11.43,11.66
유무형자산상각비,5.97,4.81,5.12,1.30,1.35
연구개발비,8.13,8.61,7.01,2.66,1.66
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,27.72,21.93,19.83,5.78,4.34
관리비,36.50,39.36,41.23,9.22,11.02
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.24,4.16,3.90,1.30,0.74
영업이익,-15.90,-25.88,6.43,-19.18,-0.23
영업이익(발표기준),-15.90,-25.88,6.43,-19.18,-0.23
금융수익,39.88,28.48,50.52,3.52,16.73
이자수익,3.47,13.58,12.56,2.80,3.41
배당금수익,0.03,0.04,0.04,0.04,0.04
외환이익,36.38,14.87,37.87,0.67,13.28
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.05,0.01,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,24.37,23.29,20.64,4.94,4.62
이자비용,9.10,17.18,17.21,3.88,4.53
외환손실,15.27,6.11,3.43,1.06,0.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,16.36,10.12,9.99,0.85,3.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.35,4.15,8.83,0.59,2.61
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.11,0.30,0.05,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.39,3.04,0.0,0.0,0.35
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.49,0.0,0.29,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.02,2.64,0.82,0.26,0.23
기타비용,14.67,61.01,1.97,0.56,0.46
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,5.34,3.80,1.79,0.42,0.37
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,8.19,0.26,0.00,0.10,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,54.15,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.14,2.79,0.17,0.04,0.09
"종속기업,공동지배기업및관계기업관련손익",-0.75,-0.24,-0.04,-0.01,-0.01
지분법손익,-0.75,-0.24,-0.04,-0.01,-0.01
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,0.54,-71.82,44.30,-20.32,14.61
법인세비용,28.93,-17.06,-5.96,-6.58,1.03
계속영업이익,-28.39,-54.76,50.25,-13.74,13.58
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-28.39,-54.76,50.25,-13.74,13.58
지배주주순이익,-28.28,-54.76,50.25,-13.74,13.58
비지배주주순이익,-0.11,0.0,0.0,0.0,0.0
