IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,266.06,262.95,186.92,33.41,37.10
매출원가,219.55,161.62,135.74,25.16,32.81
매출총이익,46.51,101.33,51.18,8.25,4.29
판매비와관리비,97.12,100.76,129.16,24.51,29.35
인건비,40.49,45.70,51.39,12.63,11.91
유무형자산상각비,8.83,1.86,2.93,0.89,0.48
연구개발비,17.25,20.82,29.57,5.39,6.87
광고선전비,0.0,1.34,1.71,0.31,0.21
판매비,7.04,-0.26,11.15,-3.06,1.89
관리비,8.92,19.79,12.89,5.57,4.31
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,14.60,11.51,19.52,2.78,3.68
영업이익,-50.61,0.57,-77.98,-16.26,-25.06
영업이익(발표기준),-50.61,0.57,-77.98,-16.26,-25.06
금융수익,7.18,469.72,39.15,4.70,10.96
이자수익,2.77,14.57,15.59,3.72,4.86
배당금수익,0.01,0.02,0.02,0.0,0.0
외환이익,0.54,1.00,17.60,0.00,4.85
대손충당금환입액,3.72,7.30,0.02,0.39,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,1.55,0.0,0.0,0.0
금융자산평가이익,0.06,0.10,1.00,0.16,0.25
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.08,46.36,4.93,0.42,1.00
기타금융수익,0.0,398.82,0.0,0.0,0.0
금융원가,16.81,923.70,714.95,4.39,172.22
이자비용,8.49,25.09,34.20,3.92,13.20
외환손실,0.27,1.61,2.37,0.47,0.00
대손상각비,8.04,3.08,0.51,0.0,0.01
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,3.05,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,347.12,0.0,82.32
기타금융원가,0.0,890.87,330.75,0.0,76.70
기타수익,6.98,1.65,18.14,2.25,2.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.38,0.03,0.24,0.0,0.0
자산평가이익,2.34,0.0,2.00,0.0,0.0
자산손상차손환입,3.00,0.0,6.10,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.46,1.33,8.71,2.20,2.16
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.81,0.30,1.09,0.05,0.00
기타비용,46.26,22.83,11.53,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.29,0.00,0.99,0.0,0.0
자산평가손실,0.0,13.90,0.45,0.0,0.0
자산손상차손,45.85,8.16,9.92,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.77,0.17,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",-80.72,-8.83,-21.14,-6.37,59.11
지분법손익,-11.98,53.35,-53.05,-6.37,-12.60
"종속기업,공동지배기업및관계기업투자주식처분손익",-0.34,-2.10,12.22,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-68.40,-60.07,19.69,0.0,71.71
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-180.24,-483.41,-768.31,-20.07,-125.05
법인세비용,-1.31,0.55,-1.18,0.0,0.0
계속영업이익,-178.93,-483.96,-767.13,-20.07,-125.05
중단영업이익,-3.81,-0.28,-1.15,0.00,0.12
당기순이익,-182.75,-484.24,-768.28,-20.07,-124.93
지배주주순이익,-182.75,-484.24,-768.28,-20.07,-124.93
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
