IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,63.02,58.27,112.98,18.08,26.06
매출원가,58.43,53.27,101.02,15.52,23.48
매출총이익,4.59,5.00,11.96,2.56,2.58
판매비와관리비,193.70,265.41,238.12,54.21,54.87
인건비,52.26,59.98,50.13,16.78,15.23
유무형자산상각비,8.08,9.18,11.10,4.52,2.48
연구개발비,101.65,159.41,131.55,20.15,28.28
광고선전비,3.20,4.27,8.57,2.48,1.80
판매비,0.10,0.06,0.12,0.04,0.01
관리비,28.42,32.50,36.66,10.25,7.07
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-189.11,-260.41,-226.16,-51.66,-52.29
영업이익(발표기준),-189.11,-260.41,-226.16,-51.66,-52.29
금융수익,9.83,18.00,12.94,7.13,3.13
이자수익,7.64,16.22,8.87,6.43,2.49
배당금수익,0.0,0.12,0.17,0.03,0.03
외환이익,2.19,1.67,3.86,0.50,0.61
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.03,0.17,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.14,2.66,3.71,1.19,0.74
이자비용,4.84,0.96,2.05,0.91,0.29
외환손실,3.84,1.56,1.66,0.28,0.45
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.14,0.0,0.0,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.47,0.0,0.0,0.0,0.0
기타수익,0.05,0.33,2.97,0.02,0.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,0.33,2.52,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.01,0.45,0.02,0.03
기타비용,0.55,0.26,0.40,0.00,0.34
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.18,0.00,0.17,0.0,0.17
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.37,0.26,0.24,0.00,0.17
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-188.92,-244.99,-214.37,-45.70,-50.21
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-188.92,-244.99,-214.37,-45.70,-50.21
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-188.92,-244.99,-214.37,-45.70,-50.21
지배주주순이익,-188.92,-244.99,-214.37,-45.70,-50.21
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
