IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,134.64,118.63,68.02,13.85,20.77
매출원가,101.83,96.64,59.86,8.53,14.74
매출총이익,32.81,21.99,8.16,5.33,6.02
판매비와관리비,34.99,28.82,40.83,11.37,9.70
인건비,15.57,13.84,24.43,6.65,3.94
유무형자산상각비,1.55,1.84,2.48,1.04,0.44
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.06,0.09,0.0,0.0
판매비,-0.89,-1.22,2.69,0.49,0.85
관리비,18.75,14.30,11.14,3.18,4.48
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-2.18,-6.83,-32.67,-6.04,-3.68
영업이익(발표기준),-2.18,-6.83,-32.67,-6.04,-3.68
금융수익,286.22,69.72,444.41,24.93,5.53
이자수익,10.37,16.16,26.23,24.93,5.53
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,32.81,36.60,0.0,0.0,0.0
금융자산평가이익,141.04,0.0,418.18,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,102.01,16.96,0.00,0.0,0.0
금융원가,416.04,112.74,167.97,8.03,0.32
이자비용,43.50,13.22,1.19,3.51,0.21
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,208.35,77.32,0.0,0.0,0.0
금융자산평가손실,74.95,10.28,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,89.25,11.92,166.78,4.52,0.11
기타수익,11.48,50.20,9.36,0.06,5.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.08,49.92,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.11,0.0,0.0
기타,11.40,0.28,9.26,0.06,5.12
기타비용,29.18,13.45,13.76,0.0,12.41
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.18,3.21,0.14,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,22.50,5.96,1.11,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.49,4.28,12.50,0.0,12.41
"종속기업,공동지배기업및관계기업관련손익",-12.70,-10.54,15.81,1.64,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-12.70,-10.54,15.81,1.64,0.0
세전계속사업이익,-162.40,-23.64,255.18,12.57,-5.76
법인세비용,-140.61,19.31,44.32,3.01,0.0
계속영업이익,-21.79,-42.95,210.86,9.56,-5.76
중단영업이익,"-1,399.36","-1,011.47","1,468.12",0.0,278.26
당기순이익,"-1,421.15","-1,054.41","1,678.98",9.56,272.50
지배주주순이익,-978.35,-242.80,770.76,9.56,28.33
비지배주주순이익,-442.80,-811.61,908.21,0.0,244.17
