IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,219.62,248.93,258.98,63.31,63.93
매출원가,169.41,188.93,188.02,45.83,46.67
매출총이익,50.21,60.01,70.96,17.49,17.26
판매비와관리비,25.30,26.69,28.91,7.01,6.36
인건비,5.22,6.10,7.12,1.56,1.48
유무형자산상각비,1.35,0.99,0.90,0.22,0.23
연구개발비,12.67,13.73,16.08,3.91,3.51
광고선전비,0.05,0.11,0.05,0.03,0.03
판매비,0.0,0.0,0.02,0.0,0.0
관리비,5.05,4.45,3.62,1.06,0.81
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.96,1.32,1.13,0.24,0.31
영업이익,24.91,33.32,42.04,10.48,10.90
영업이익(발표기준),24.91,33.32,42.04,10.48,10.90
금융수익,0.59,0.75,0.43,0.13,0.22
이자수익,0.16,0.33,0.22,0.02,0.08
배당금수익,0.44,0.42,0.19,0.11,0.12
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.01,0.02,0.00,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.16,4.54,4.59,1.43,1.20
이자비용,3.16,4.54,4.56,1.43,1.20
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.03,0.0,0.0
기타수익,0.42,0.19,0.26,0.02,0.17
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.05,0.09,0.01,0.06
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.41,0.14,0.17,0.00,0.11
기타비용,0.09,0.49,0.02,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.08,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.47,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.02,0.02,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,22.66,29.23,38.13,9.20,10.08
법인세비용,3.04,4.59,3.85,1.20,1.41
계속영업이익,19.62,24.64,34.28,8.00,8.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,19.62,24.64,34.28,8.00,8.67
