IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,281.39,216.46,171.74,25.89,34.53
매출원가,171.12,124.18,88.16,14.04,21.16
매출총이익,110.27,92.28,83.58,11.85,13.38
판매비와관리비,103.09,136.24,202.06,39.25,30.19
인건비,30.28,29.30,42.87,9.48,9.52
유무형자산상각비,4.30,3.84,4.41,1.20,1.10
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,24.35,38.73,74.35,18.07,8.23
판매비,31.83,51.08,46.86,4.59,6.49
관리비,12.32,13.30,33.57,5.92,4.85
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,7.18,-43.96,-118.49,-27.41,-16.81
영업이익(발표기준),7.18,-43.96,-118.49,-27.41,-16.81
금융수익,4.78,0.58,1.57,0.85,0.15
이자수익,0.49,0.52,0.88,0.38,0.14
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.05,0.69,0.47,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,4.28,0.0,0.0,0.0,0.0
금융원가,7.80,1.90,2.99,0.91,0.29
이자비용,4.70,1.86,0.76,0.55,0.24
외환손실,0.00,0.03,0.38,0.36,0.05
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,3.00,0.0,1.84,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.10,0.0,0.0,0.0,0.0
기타수익,4.03,2.64,11.28,0.00,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.22,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.31,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,2.52,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.51,0.12,11.28,0.00,0.00
기타비용,12.28,1.25,59.45,0.11,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,1.23,0.0,0.10,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.51,0.03,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,7.61,1.22,58.17,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.01,0.0,1.01,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.93,0.0,0.17,0.11,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,-0.37,-0.41,0.0,-0.10
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,-0.37,-0.41,0.0,-0.10
세전계속사업이익,-4.07,-44.26,-168.48,-27.58,-17.10
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-4.07,-44.26,-168.48,-27.58,-17.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-4.07,-44.26,-168.48,-27.58,-17.10
지배주주순이익,-4.07,-44.07,-166.87,-27.52,-16.95
비지배주주순이익,0.0,-0.19,-1.61,-0.06,-0.15
