IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,590.56,893.63,796.47,135.06,84.73
매출원가,144.46,118.27,125.07,32.60,27.64
매출총이익,446.10,775.36,671.39,102.47,57.09
판매비와관리비,211.67,350.97,376.73,121.45,68.90
인건비,87.17,87.63,95.77,22.99,22.43
유무형자산상각비,11.06,10.01,11.12,2.95,2.79
연구개발비,0.0,120.89,43.82,0.0,14.70
광고선전비,23.14,29.56,38.59,73.08,2.43
판매비,2.87,9.84,27.64,-2.04,8.33
관리비,87.24,92.67,159.55,24.47,18.22
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.19,0.37,0.24,0.0,0.0
영업이익,234.43,424.39,294.66,-18.98,-11.81
영업이익(발표기준),234.43,424.39,294.66,-18.98,-11.81
금융수익,110.29,141.68,154.58,45.63,95.59
이자수익,19.45,35.87,26.08,7.92,7.62
배당금수익,37.50,14.15,20.82,10.37,4.75
외환이익,53.35,44.52,94.11,8.74,29.95
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,47.14,13.58,18.60,53.27
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,198.44,28.30,115.97,19.40,38.79
이자비용,2.87,2.33,1.58,0.27,0.11
외환손실,60.55,25.96,104.21,9.03,38.67
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,10.09,0.0
금융자산평가손실,135.02,0.0,10.19,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.98,13.98,0.44,0.02,0.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.03,0.04,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.01,0.01,0.00,0.00
충당부채환입액,0.0,10.07,0.0,0.0,0.0
기타,4.92,3.88,0.40,0.02,0.04
기타비용,27.98,11.04,219.07,2.93,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.90,0.52,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.04,5.46,0.0,0.0,0.0
충당부채전입액,24.72,0.0,218.38,2.14,0.0
기타,2.32,5.06,0.69,0.79,0.0
"종속기업,공동지배기업및관계기업관련손익",-0.03,-0.03,-0.03,-0.01,-0.01
지분법손익,-0.03,-0.03,-0.03,-0.01,-0.01
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,123.25,540.69,114.62,4.34,45.02
법인세비용,97.89,200.34,40.21,3.16,0.91
계속영업이익,25.36,340.35,74.41,1.18,44.11
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,25.36,340.35,74.41,1.18,44.11
지배주주순이익,25.36,340.35,74.41,1.18,44.11
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
