IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,726.18","1,687.60","1,556.23",739.68,612.24
매출원가,"1,445.59","1,402.61","1,254.68",621.30,508.98
매출총이익,280.59,284.99,301.55,118.39,103.26
판매비와관리비,234.34,241.17,252.48,62.20,58.94
인건비,86.86,85.13,89.57,20.62,20.08
유무형자산상각비,71.45,74.64,77.90,19.42,19.14
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,42.87,45.70,49.75,13.95,11.96
관리비,12.41,15.53,15.29,4.31,3.65
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,20.74,20.17,19.97,3.91,4.10
영업이익,46.25,43.81,49.08,56.18,44.32
영업이익(발표기준),46.25,43.81,49.08,56.18,44.32
금융수익,19.89,28.67,1.68,0.81,0.69
이자수익,19.85,28.65,1.66,0.0,0.0
배당금수익,0.04,0.01,0.02,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.81,0.69
금융원가,5.92,7.95,18.90,4.01,4.84
이자비용,5.92,7.95,18.90,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,4.01,4.84
기타수익,14.19,5.23,8.11,1.32,1.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.07,0.18,0.10,0.0,0.0
자산처분(폐기)이익,10.74,0.42,3.52,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.03,0.02,0.01,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.22,0.22,0.34,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.12,4.39,4.13,1.32,1.21
기타비용,4.24,3.36,2.41,0.08,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.29,0.03,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.72,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.24,3.33,2.41,0.08,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,70.18,66.40,37.56,54.21,41.26
법인세비용,11.16,10.52,1.92,7.15,7.24
계속영업이익,59.02,55.88,35.63,47.06,34.02
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,59.02,55.88,35.63,47.06,34.02
