IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,538.34,456.51,388.82,77.25,90.44
매출원가,465.96,403.40,296.46,60.68,72.93
매출총이익,72.38,53.11,92.36,16.56,17.51
판매비와관리비,97.42,88.55,90.05,18.84,17.40
인건비,55.58,55.36,52.14,10.06,9.82
유무형자산상각비,1.59,1.77,1.31,0.25,0.45
연구개발비,15.26,12.11,10.73,3.75,2.91
광고선전비,0.23,0.32,0.09,0.0,0.00
판매비,0.0,0.0,0.0,0.0,0.0
관리비,21.49,16.72,16.08,4.17,3.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.26,2.26,9.70,0.61,0.55
영업이익,-25.04,-35.44,2.31,-2.28,0.11
영업이익(발표기준),-25.04,-35.44,2.31,-2.28,0.11
금융수익,18.79,34.79,34.75,7.77,9.13
이자수익,18.79,34.79,31.79,7.10,9.10
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.03
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,1.69,0.67,0.0
금융자산평가이익,0.0,0.0,1.27,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.11,0.08,0.22,0.05,0.02
이자비용,0.11,0.08,0.22,0.05,0.02
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.84,0.18,0.88,0.32,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.01,0.00,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.00,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.08,0.40,0.30,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.83,0.09,0.48,0.02,0.01
기타비용,0.30,2.88,4.88,0.03,4.27
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.0,4.15,0.0,4.15
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.78,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.28,0.10,0.73,0.03,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-2.82,-3.42,32.83,5.74,4.96
법인세비용,-4.84,-0.40,9.44,-0.41,-0.31
계속영업이익,2.01,-3.02,23.40,6.14,5.26
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,2.01,-3.02,23.40,6.14,5.26
