IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"9,979.37","7,511.65","5,560.14","1,211.19","1,634.19"
매출원가,"8,552.24","6,671.48","4,927.88","1,083.65","1,511.35"
매출총이익,"1,427.13",840.18,632.26,127.55,122.84
판매비와관리비,629.26,535.74,471.25,133.50,124.69
인건비,231.40,227.44,188.44,44.67,52.04
유무형자산상각비,11.59,20.26,23.92,8.39,4.81
연구개발비,170.32,125.10,113.97,46.73,33.38
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,67.67,44.63,37.47,5.44,5.26
관리비,77.70,42.16,44.15,11.32,11.71
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,70.58,76.16,63.28,16.94,17.49
영업이익,797.87,304.43,161.01,-5.95,-1.85
영업이익(발표기준),797.87,304.43,161.01,-5.95,-1.85
금융수익,417.03,242.84,218.59,44.49,73.87
이자수익,9.21,18.00,20.51,5.48,5.81
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,404.98,224.27,196.98,35.11,67.68
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.85,0.58,1.10,0.0,0.38
금융자산평가이익,0.0,0.0,0.0,3.90,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,532.22,301.98,227.27,66.67,59.77
이자비용,61.81,107.98,74.67,23.86,20.89
외환손실,474.64,192.84,132.70,42.80,27.79
대손상각비,-5.24,0.0,0.02,0.01,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.01,1.16,19.88,0.0,11.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,35.98,38.26,145.38,13.44,7.98
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.60,0.69,121.04,1.04,0.59
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,4.79,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,8.71,10.89,11.18,3.46,2.72
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.59,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,26.67,26.09,13.16,4.16,4.67
기타비용,62.03,71.85,248.75,36.77,22.17
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,22.52,38.74,47.06,28.25,5.37
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.63,0.0,167.88,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,38.88,33.10,33.81,8.51,16.80
"종속기업,공동지배기업및관계기업관련손익",9.71,8.61,10.01,4.17,3.90
지분법손익,9.71,8.61,10.01,4.17,3.90
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,666.35,220.32,58.97,-47.28,1.96
법인세비용,102.60,8.73,12.55,10.79,10.96
계속영업이익,563.75,211.58,46.42,-58.07,-9.00
중단영업이익,-16.62,-44.63,-42.88,0.0,-42.96
당기순이익,547.14,166.96,3.55,-58.07,-51.96
지배주주순이익,547.14,166.96,3.55,-58.07,-51.96
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
