IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,411.69,349.69,346.23,117.58,83.50
매출원가,221.17,167.08,184.98,73.92,50.39
매출총이익,190.52,182.60,161.25,43.65,33.11
판매비와관리비,186.28,198.82,172.42,37.72,44.54
인건비,60.36,67.02,57.16,0.0,0.0
유무형자산상각비,8.48,10.12,7.67,0.0,0.0
연구개발비,44.71,44.62,33.57,0.0,0.0
광고선전비,3.11,3.51,0.85,0.0,0.0
판매비,7.07,4.04,10.16,-0.22,-1.33
관리비,62.56,69.51,63.01,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,37.93,45.87
영업이익,4.24,-16.22,-11.16,5.94,-11.43
영업이익(발표기준),4.24,-16.22,-11.16,5.94,-11.43
금융수익,22.89,50.52,14.16,2.69,2.88
이자수익,5.92,3.75,5.72,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.69,3.20,8.24,0.0,0.0
대손충당금환입액,0.0,43.37,0.20,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.40,0.08,0.0,0.0,0.0
금융자산평가이익,8.20,0.13,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.11,0.0,0.0,0.0,0.0
기타금융수익,1.57,0.0,0.0,2.69,2.88
금융원가,215.82,15.79,5.76,4.81,2.72
이자비용,63.17,5.36,1.86,0.0,0.0
외환손실,2.87,1.72,1.32,0.0,0.0
대손상각비,106.01,5.10,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,1.88,0.0,0.92,0.0,0.0
금융자산평가손실,0.0,3.61,1.66,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,41.89,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,4.81,2.72
기타수익,6.35,10.01,4.47,1.46,0.80
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.02,2.73,2.16,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,3.66,0.90,0.04,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,3.44,0.0,0.0,0.0
기타,0.67,2.93,2.26,1.46,0.80
기타비용,1.88,14.65,1.57,0.19,0.33
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.36,0.12,0.84,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,4.64,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.19,0.0,0.0,0.0,0.0
기타,1.32,9.90,0.73,0.19,0.33
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-184.21,13.87,0.13,5.09,-10.81
법인세비용,3.87,0.81,1.38,-0.10,-0.80
계속영업이익,-188.08,13.06,-1.25,5.19,-10.02
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-188.08,13.06,-1.25,5.19,-10.02
지배주주순이익,-185.40,16.29,0.60,5.19,-9.32
비지배주주순이익,-2.69,-3.23,-1.85,0.0,-0.70
