IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"16,843.66","18,603.51","20,453.62","3,983.85","5,729.54"
매출원가,"14,263.18","16,756.72","18,159.00","3,415.49","4,985.28"
매출총이익,"2,580.49","1,846.79","2,294.62",568.37,744.25
판매비와관리비,971.28,957.70,"2,778.61",277.89,197.36
인건비,380.25,388.58,390.71,0.0,0.0
유무형자산상각비,42.28,51.87,74.30,0.0,0.0
연구개발비,197.01,236.35,187.56,0.0,0.0
광고선전비,0.79,0.93,1.28,0.0,0.0
판매비,103.52,7.19,"1,812.64",24.47,-47.70
관리비,245.15,269.94,308.81,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.28,2.84,3.31,253.42,245.06
영업이익,"1,609.20",889.09,-483.99,290.48,546.89
영업이익(발표기준),"1,609.20",889.09,-483.99,290.48,546.89
금융수익,146.68,225.30,225.56,33.74,48.74
이자수익,107.46,122.44,96.24,16.84,22.57
배당금수익,0.03,0.0,0.01,0.0,0.0
외환이익,39.20,102.87,129.21,16.90,26.07
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.10,0.0,0.10
금융원가,133.22,168.53,223.44,27.10,47.67
이자비용,55.74,117.73,139.61,23.13,42.74
외환손실,77.48,45.67,61.87,3.96,4.52
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,5.14,21.95,0.0,0.41
기타수익,"1,076.85",533.65,986.35,123.04,330.68
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,553.50,233.23,767.28,63.92,286.67
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,227.31,101.43,13.00,3.48,5.94
자산처분(폐기)이익,10.54,17.67,51.83,6.65,3.86
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,197.92,143.07,89.47,26.35,13.61
임대료수익,0.77,0.79,8.74,1.79,0.20
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.71,0.34,0.0
대손충당금환입,2.85,0.0,0.0,0.0,0.0
충당부채환입액,0.0,-1.14,5.30,0.56,0.0
기타,83.95,38.60,50.03,19.95,20.40
기타비용,"1,177.08",860.19,"1,193.70",137.07,444.16
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,265.46,204.67,101.26,66.72,34.33
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,42.18,19.61,296.74,0.0,1.89
자산처분(폐기)손실,10.69,2.30,7.68,0.00,0.18
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.27,16.99,32.49,4.73,2.88
파생상품손실,855.98,612.42,738.18,22.53,402.90
기타대손상각비,0.01,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.08,0.0,0.0,0.0
기타,2.48,4.10,17.35,43.08,1.99
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,522.44",619.32,-689.21,283.09,434.47
법인세비용,462.91,113.71,-247.65,68.02,-53.98
계속영업이익,"1,059.53",505.61,-441.57,215.08,488.45
중단영업이익,0.0,-29.43,120.39,0.0,0.0
당기순이익,"1,059.53",476.18,-321.17,215.08,488.45
지배주주순이익,771.61,399.65,-726.09,235.37,333.84
비지배주주순이익,287.92,76.53,404.92,-20.30,154.61
