IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,320.81,501.70,670.39,61.35,180.75
매출원가,256.32,444.68,625.49,60.27,175.81
매출총이익,64.49,57.02,44.90,1.08,4.93
판매비와관리비,49.21,48.20,58.97,11.24,15.06
인건비,17.29,21.82,24.92,5.97,7.55
유무형자산상각비,5.28,4.68,4.77,0.95,0.96
연구개발비,0.01,0.04,0.07,0.00,0.02
광고선전비,0.06,0.09,0.07,0.00,0.02
판매비,1.36,5.20,15.00,-0.00,0.56
관리비,25.22,16.39,14.14,4.33,5.95
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,15.28,8.81,-14.07,-10.16,-10.12
영업이익(발표기준),15.28,8.81,-14.07,-10.16,-10.12
금융수익,0.78,2.99,11.35,2.87,2.64
이자수익,0.64,2.69,11.10,2.75,2.44
배당금수익,0.07,0.01,0.02,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.03,0.0,0.0,0.0,0.0
금융자산평가이익,0.04,0.30,0.23,0.12,0.20
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,12.87,3.85,1.18,0.17,0.23
이자비용,11.48,3.83,1.13,0.16,0.23
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.03,0.0,0.00,0.0,0.0
금융자산평가손실,0.01,0.02,0.05,0.00,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.35,0.0,0.0,0.0,0.0
기타수익,49.33,111.76,24.92,0.46,2.69
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.02,3.09,10.26,0.46,2.59
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.17,0.98,0.16,0.0,0.0
자산평가이익,41.45,0.03,9.53,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.23,103.34,0.0,0.0,0.0
충당부채환입액,0.0,0.0,4.80,0.0,0.0
기타,2.47,4.32,0.17,0.00,0.11
기타비용,40.73,38.96,33.90,0.29,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.64,1.37,2.74,0.21,0.03
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.32,0.0,0.0,0.0
자산평가손실,2.12,1.52,5.06,0.0,0.0
자산손상차손,35.87,24.20,25.08,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.00,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,11.54,1.02,0.08,0.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,11.79,80.75,-12.89,-7.29,-5.14
법인세비용,-1.97,-2.92,0.60,0.0,-0.07
계속영업이익,13.76,83.67,-13.49,-7.29,-5.07
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,13.76,83.67,-13.49,-7.29,-5.07
