IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,376.17","2,209.59","2,088.50",433.69,495.40
매출원가,"1,797.85","1,710.52","1,613.85",350.02,392.39
매출총이익,578.31,499.07,474.65,83.67,103.01
판매비와관리비,246.01,240.99,242.85,51.60,54.66
인건비,131.95,115.59,116.96,28.22,29.35
유무형자산상각비,17.86,19.02,17.86,3.35,4.44
연구개발비,6.60,0.0,0.0,0.0,0.0
광고선전비,0.98,1.14,1.15,0.23,0.14
판매비,24.73,27.54,39.08,4.83,8.13
관리비,63.89,77.70,67.80,14.97,12.27
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.32
영업이익,332.30,258.08,231.80,32.07,48.35
영업이익(발표기준),332.30,258.08,231.80,32.07,48.35
금융수익,19.35,17.10,19.36,5.54,4.96
이자수익,9.00,16.34,19.30,3.89,4.95
배당금수익,0.05,0.02,0.04,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.19,0.74,0.02,1.65,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,10.11,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,32.37,257.89,95.05,14.09,19.03
이자비용,28.94,64.31,65.12,12.98,17.80
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.99,0.09,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,2.45,193.49,29.94,1.11,1.22
기타수익,3.52,14.73,4.03,1.30,0.28
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.33,10.62,3.44,1.25,0.12
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.60,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.60,4.11,0.58,0.05,0.16
기타비용,33.07,51.22,346.55,1.56,3.49
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,10.11,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.75,2.96,3.92,0.67,2.40
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.05,36.88,327.08,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.17,11.39,15.56,0.90,1.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,-54.11,-1.06
지분법손익,0.0,0.0,0.0,-54.11,-1.06
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,289.73,-19.20,-186.42,-30.86,30.01
법인세비용,70.76,-36.32,2.13,-9.55,5.92
계속영업이익,218.96,17.12,-188.56,-21.31,24.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,218.96,17.12,-188.56,-21.31,24.10
지배주주순이익,218.96,17.12,-188.56,-21.31,24.10
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
