IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,290.86,103.88,136.90,55.60,10.51
매출원가,96.56,63.35,102.23,53.45,9.50
매출총이익,194.30,40.53,34.67,2.14,1.01
판매비와관리비,369.99,101.39,89.67,18.98,15.22
인건비,35.61,35.52,40.61,8.34,6.86
유무형자산상각비,9.01,4.09,5.67,2.06,0.72
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,142.63,44.15,14.19,0.04,6.97
판매비,35.52,-11.51,3.71,0.60,-4.47
관리비,147.21,29.15,25.49,7.96,5.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-175.68,-60.86,-55.00,-16.83,-14.21
영업이익(발표기준),-175.68,-60.86,-55.00,-16.83,-14.21
금융수익,5.29,3.90,15.85,0.39,0.92
이자수익,5.29,3.90,2.11,0.39,0.92
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,13.74,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.89,0.26,12.42,2.97,0.03
이자비용,3.89,0.26,7.66,2.97,0.03
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.06,0.0,0.0
기타금융원가,0.0,0.0,4.70,0.0,0.0
기타수익,59.67,11.28,17.25,1.05,4.74
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,28.53,3.59,14.23,0.18,4.45
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,7.30,0.56,0.0,0.12
자산처분(폐기)이익,0.20,0.33,0.07,0.10,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.91,0.37,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.06,0.05,0.01,0.16,0.01
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,30.89,0.02,1.47,0.24,0.11
기타비용,187.84,70.27,221.20,1.36,3.39
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,39.10,1.06,10.88,0.55,0.78
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,71.73,1.57,1.42,0.0,0.0
자산처분(폐기)손실,22.83,4.24,0.24,0.15,0.02
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,9.59,22.39,37.03,0.43,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,44.45,40.91,170.89,0.0,2.58
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.14,0.10,0.74,0.23,0.00
"종속기업,공동지배기업및관계기업관련손익",3.88,0.0,-0.16,0.15,0.0
지분법손익,3.88,0.0,-0.16,0.15,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-298.57,-116.22,-255.68,-19.58,-11.97
법인세비용,0.0,0.0,0.32,0.0,0.0
계속영업이익,-298.57,-116.22,-256.00,-19.58,-11.97
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-298.57,-116.22,-256.00,-19.58,-11.97
지배주주순이익,-281.23,-116.22,-256.00,-19.58,-11.97
비지배주주순이익,-17.35,0.0,0.0,0.0,0.0
