IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,743.66","1,521.50","1,550.77",354.88,392.65
매출원가,"1,445.50","1,299.22","1,323.73",316.74,335.34
매출총이익,298.16,222.29,227.04,38.14,57.31
판매비와관리비,187.22,175.18,193.52,47.34,45.65
인건비,80.33,86.89,90.58,23.20,21.57
유무형자산상각비,7.96,10.59,9.92,2.46,2.74
연구개발비,21.06,20.21,23.58,5.85,5.12
광고선전비,0.09,0.08,0.12,0.01,0.10
판매비,42.04,19.97,26.52,5.91,5.55
관리비,35.73,37.43,42.80,9.91,10.57
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,110.94,47.11,33.52,-9.20,11.66
영업이익(발표기준),110.94,47.11,33.52,-9.20,11.66
금융수익,28.42,18.28,45.53,4.94,10.91
이자수익,2.78,3.76,3.40,0.48,0.41
배당금수익,0.01,0.11,0.07,0.0,0.0
외환이익,25.31,13.86,41.62,4.14,10.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.24,0.09,0.0,0.0
금융자산평가이익,0.32,0.31,0.36,0.33,0.32
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,22.81,29.31,38.49,10.34,8.98
이자비용,11.83,13.38,21.04,4.56,4.67
외환손실,10.96,15.92,17.45,5.77,4.31
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.02,0.0,0.0,0.0,0.0
금융자산손상차손,0.00,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.44,4.58,1.65,0.46,0.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.42,2.11,0.47,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.36,0.16,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.02,2.11,1.02,0.46,0.25
기타비용,6.44,8.08,3.92,0.71,0.29
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.07,0.23,0.11,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,5.39,0.0,1.29,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.98,7.85,2.52,0.71,0.29
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,113.54,32.58,38.30,-14.85,13.54
법인세비용,23.38,18.77,17.34,0.58,3.03
계속영업이익,90.16,13.81,20.96,-15.43,10.51
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,90.16,13.81,20.96,-15.43,10.51
지배주주순이익,91.42,16.21,25.27,-14.53,11.11
비지배주주순이익,-1.25,-2.40,-4.31,-0.90,-0.60
