IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,560.42","1,603.53","1,717.56",425.21,455.36
매출원가,"1,392.52","1,523.40","1,358.14",338.34,362.92
매출총이익,167.90,80.13,359.42,86.88,92.44
판매비와관리비,316.00,281.65,249.89,66.01,60.57
인건비,63.74,59.25,53.17,15.21,12.60
유무형자산상각비,6.55,6.74,6.54,1.70,1.63
연구개발비,154.32,149.80,135.15,31.88,32.50
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,14.29,13.81,16.21,3.86,4.43
관리비,19.29,18.83,17.70,6.07,4.42
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,57.81,33.23,21.12,7.29,5.00
영업이익,-148.10,-201.53,109.54,20.87,31.87
영업이익(발표기준),-148.10,-201.53,109.54,20.87,31.87
금융수익,61.88,44.16,69.99,5.43,24.45
이자수익,0.48,3.74,1.00,0.12,0.17
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,38.05,26.39,42.45,5.30,12.02
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.00,0.00,0.00,0.00,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,23.35,14.02,26.54,0.0,12.26
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,103.17,87.03,88.11,17.87,27.47
이자비용,29.38,49.89,52.67,13.48,13.79
외환손실,41.63,29.16,35.21,4.37,13.61
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.24,0.21,0.23,0.02,0.08
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,7.77,0.0,0.0,0.0
파생상품손실,31.91,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.39,3.00,1.23,0.19,0.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.13,1.78,0.11,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.26,1.22,1.13,0.19,0.34
기타비용,0.89,0.57,0.49,0.0,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.29,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.58,0.57,0.49,0.0,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-185.90,-241.97,92.16,8.61,29.16
법인세비용,-18.87,-0.04,5.15,-0.39,0.84
계속영업이익,-167.03,-241.93,87.01,9.00,28.32
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-167.03,-241.93,87.01,9.00,28.32
