IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,236.12,214.12,280.11,20.92,47.07
매출원가,200.09,186.10,247.51,22.48,38.04
매출총이익,36.03,28.02,32.60,-1.56,9.03
판매비와관리비,68.23,84.36,74.60,18.56,22.89
인건비,27.29,27.20,37.23,8.86,6.76
유무형자산상각비,5.56,5.13,4.46,1.02,1.23
연구개발비,14.54,13.07,13.70,4.62,3.30
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,1.42,17.79,4.34,0.94,7.68
관리비,15.33,16.78,11.15,2.21,2.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.08,4.37,3.71,0.91,1.01
영업이익,-32.21,-56.34,-42.00,-20.13,-13.86
영업이익(발표기준),-32.21,-56.34,-42.00,-20.13,-13.86
금융수익,37.63,10.92,17.34,1.94,5.90
이자수익,5.70,4.74,5.30,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,31.93,6.18,12.03,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,1.94,5.90
금융원가,18.05,3.73,3.79,0.91,1.04
이자비용,2.59,0.18,0.92,0.0,0.0
외환손실,15.46,3.55,2.87,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.91,1.04
기타수익,0.83,60.64,1.11,0.14,0.23
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,59.64,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.78,1.00,1.11,0.14,0.23
기타비용,7.38,2.09,0.27,0.06,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.52,0.30,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,5.54,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,1.78,0.26,0.06,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-19.18,9.40,-27.61,-19.02,-8.84
법인세비용,-3.11,3.72,-14.41,0.0,0.08
계속영업이익,-16.06,5.68,-13.20,-19.02,-8.92
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-16.06,5.68,-13.20,-19.02,-8.92
지배주주순이익,-16.06,5.68,-13.20,-19.02,-8.92
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
