IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,733.04,636.98,978.70,86.00,202.62
매출원가,647.56,548.47,773.56,58.33,169.59
매출총이익,85.48,88.51,205.14,27.67,33.04
판매비와관리비,81.68,190.43,229.51,59.10,56.73
인건비,37.76,73.98,104.83,26.06,29.07
유무형자산상각비,3.85,9.96,18.03,3.58,4.98
연구개발비,7.06,7.79,7.89,1.52,2.84
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-7.90,4.71,-25.37,0.07,-14.20
관리비,31.96,64.96,68.51,17.35,17.45
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.96,29.02,55.63,10.51,16.58
영업이익,3.80,-101.92,-24.38,-31.43,-23.69
영업이익(발표기준),3.80,-101.92,-24.38,-31.43,-23.69
금융수익,65.84,44.47,60.31,9.07,15.90
이자수익,4.52,11.14,10.73,4.95,2.44
배당금수익,0.0,0.00,0.05,0.0,0.0
외환이익,61.33,30.91,49.24,0.11,13.37
대손충당금환입액,0.0,0.0,0.00,0.0,0.00
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.09,0.07,0.0,0.06
금융자산평가이익,0.0,1.87,0.17,4.01,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.00,0.45,0.05,0.00,0.04
금융원가,79.59,56.42,63.70,3.47,12.06
이자비용,1.93,16.92,11.30,1.95,2.10
외환손실,35.27,25.57,11.71,1.45,2.91
대손상각비,0.0,0.00,5.60,0.00,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.06,0.08,0.07,0.04
금융자산처분손실,0.32,0.0,0.0,0.0,0.0
금융자산평가손실,42.07,13.86,35.01,0.0,7.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.00,0.0,0.0,0.0,0.0
기타수익,5.95,1.63,8.15,0.02,0.76
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.05,3.78,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,5.65,0.0,0.63,0.0,0.63
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.30,1.59,3.74,0.02,0.13
기타비용,2.85,2.31,20.17,0.07,0.19
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.02,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,2.06,0.01,10.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,1.43,3.09,0.0,0.0
기타,0.80,0.88,6.86,0.07,0.19
"종속기업,공동지배기업및관계기업관련손익",-0.41,0.0,3.53,1.33,2.00
지분법손익,4.60,4.92,5.92,1.33,2.00
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-5.02,-4.92,-2.39,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-7.26,-114.55,-36.26,-24.55,-17.28
법인세비용,0.0,-0.03,1.51,0.0,0.0
계속영업이익,-7.26,-114.52,-37.77,-24.55,-17.28
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-7.26,-114.52,-37.77,-24.55,-17.28
지배주주순이익,-7.26,-99.43,8.80,-16.94,0.33
비지배주주순이익,0.0,-15.08,-46.57,-7.61,-17.61
