IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,188.37",748.02,838.73,144.07,188.98
매출원가,672.03,519.92,594.23,97.41,120.91
매출총이익,516.34,228.10,244.51,46.66,68.07
판매비와관리비,322.70,339.02,400.38,91.43,92.88
인건비,154.17,153.02,159.61,44.54,151.91
유무형자산상각비,6.40,10.53,12.49,3.15,12.49
연구개발비,43.61,70.18,95.33,11.11,92.53
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,38.00,19.61,53.87,8.06,53.87
관리비,48.79,53.95,54.41,14.85,71.00
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,31.74,31.72,24.66,9.71,-288.91
영업이익,193.63,-110.92,-155.87,-44.76,-24.81
영업이익(발표기준),193.63,-110.92,-155.87,-44.76,-24.81
금융수익,64.86,30.92,110.50,5.73,12.11
이자수익,2.44,5.50,7.72,1.71,2.07
배당금수익,0.0,0.0,1.44,0.0,0.0
외환이익,54.51,21.32,34.18,2.07,9.63
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.06,0.02,0.05,0.0,0.0
금융자산평가이익,0.0,0.14,20.75,0.0,0.35
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.84,3.94,46.36,1.95,0.05
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,69.12,32.59,57.24,9.61,10.22
이자비용,5.26,10.29,22.63,6.34,4.94
외환손실,24.14,14.38,8.41,2.72,1.04
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.14,0.0,0.0
금융자산평가손실,0.0,0.0,0.00,0.0,0.14
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,39.72,7.93,26.05,0.55,4.09
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.51,5.48,0.34,0.14,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.08,0.01,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.43,5.47,0.34,0.14,0.01
기타비용,0.57,1.90,1.04,0.02,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.12,0.03,0.0,0.02,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.46,1.87,1.04,0.00,0.05
"종속기업,공동지배기업및관계기업관련손익",-0.68,-11.19,-4.13,-1.52,0.78
지분법손익,-0.68,-11.19,-4.13,-1.52,0.78
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,189.63,-120.20,-107.43,-50.04,-22.19
법인세비용,26.28,-12.28,11.26,0.0,0.0
계속영업이익,163.35,-107.91,-118.69,-50.04,-22.19
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,163.35,-107.91,-118.69,-50.04,-22.19
지배주주순이익,163.35,-107.91,-118.68,-50.06,-22.19
비지배주주순이익,0.0,0.0,-0.00,0.01,0.0
