IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"31,633.44","35,873.82","43,765.98","11,761.41","7,477.79"
매출원가,"27,979.12","31,229.84","35,475.50","8,899.98","6,431.24"
매출총이익,"3,654.32","4,643.98","8,290.48","2,861.43","1,046.56"
판매비와관리비,"2,179.45","2,543.52","3,724.82",832.90,599.72
인건비,"1,036.02","1,274.50","1,628.36",431.96,337.66
유무형자산상각비,167.81,170.83,213.05,69.44,46.26
연구개발비,182.83,289.43,317.01,52.84,34.78
광고선전비,84.16,143.16,227.07,25.20,20.40
판매비,172.41,200.90,592.46,62.83,20.57
관리비,404.56,338.02,437.36,136.22,94.25
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,131.66,126.68,309.51,54.41,45.79
영업이익,"1,474.87","2,100.47","4,565.66","2,028.53",446.84
영업이익(발표기준),"1,474.87","2,100.47","4,565.66","2,028.53",446.84
금융수익,285.48,476.01,752.11,233.06,256.15
이자수익,89.29,293.17,280.55,87.03,78.30
배당금수익,0.93,0.51,1.55,0.31,0.20
외환이익,140.65,45.63,157.91,96.08,56.83
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.90,2.03,2.47,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,53.71,134.67,309.63,49.64,120.82
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,766.40,472.31,519.05,111.60,185.76
이자비용,411.65,288.73,166.22,34.18,47.83
외환손실,346.34,183.42,337.82,70.91,137.94
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.23,0.15,0.15,0.08,0.00
금융자산평가손실,0.74,0.0,14.85,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,7.42,0.0,0.0,6.42,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,991.93,823.08,"1,140.50",93.56,164.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,934.26,743.10,997.07,79.13,154.33
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,5.53,2.14,0.74,0.84,0.43
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.31,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,51.83,77.84,142.69,13.59,10.13
기타비용,945.61,"1,116.91",842.54,217.01,138.67
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,843.26,797.38,640.27,163.33,111.47
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.92,0.75,3.58,0.06,0.02
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.16,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,100.27,318.78,198.70,53.62,27.18
"종속기업,공동지배기업및관계기업관련손익",-1.47,-1.93,-1.07,-0.21,-0.12
지분법손익,-1.47,-1.93,-1.07,-0.21,-0.12
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,038.81","1,808.41","5,095.61","2,026.32",543.33
법인세비용,-906.54,240.62,"1,043.02",454.86,-13.00
계속영업이익,"1,945.34","1,567.79","4,052.59","1,571.46",556.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,945.34","1,567.79","4,052.59","1,571.46",556.33
지배주주순이익,"1,977.98","1,610.28","4,068.92","1,583.85",562.42
비지배주주순이익,-32.63,-42.49,-16.32,-12.39,-6.09
