IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,195.63","2,266.53","2,757.25",783.62,589.83
매출원가,"1,686.78","1,347.21","1,715.86",486.60,363.49
매출총이익,"1,508.85",919.32,"1,041.39",297.02,226.34
판매비와관리비,238.59,252.29,233.91,62.28,52.64
인건비,69.38,55.97,62.01,16.54,15.56
유무형자산상각비,9.40,11.28,10.92,2.53,2.74
연구개발비,48.29,89.98,52.11,12.38,12.98
광고선전비,0.61,0.51,0.75,1.04,0.75
판매비,2.74,3.07,6.44,1.98,1.37
관리비,106.28,87.98,96.88,26.94,18.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.89,3.50,4.81,0.87,1.15
영업이익,"1,270.27",667.03,807.48,234.74,173.69
영업이익(발표기준),"1,270.27",667.03,807.48,234.74,173.69
금융수익,46.55,89.24,92.77,22.71,22.46
이자수익,46.55,89.24,92.77,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,22.71,22.46
금융원가,0.19,0.28,0.32,0.07,0.08
이자비용,0.19,0.28,0.32,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.07,0.08
기타수익,86.02,41.45,60.89,9.62,15.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,60.69,26.60,52.99,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.34,0.09,0.32,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,1.59,0.05,0.0,0.0
파생상품이익,24.19,12.60,5.75,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.81,0.57,1.77,9.62,15.07
기타비용,123.43,44.93,53.56,12.39,11.95
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,39.00,23.63,14.68,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,39.75,0.24,0.24,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.24,0.58,0.47,0.0,0.0
파생상품손실,43.75,19.99,37.66,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.68,0.50,0.52,12.39,11.95
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,279.22",752.51,907.26,254.60,199.19
법인세비용,338.65,140.07,187.32,59.41,43.26
계속영업이익,940.56,612.45,719.94,195.19,155.92
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,940.56,612.45,719.94,195.19,155.92
