IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,284.23,295.83,316.08,98.87,76.34
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,284.23,295.83,316.08,98.87,76.34
판매비와관리비,223.51,235.14,239.59,77.96,61.96
인건비,126.81,129.01,133.41,44.42,34.30
유무형자산상각비,14.63,14.33,13.58,3.99,3.46
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.06,0.05,0.0,0.0
판매비,0.0,-0.07,0.57,0.0,0.0
관리비,56.60,91.81,91.99,20.36,17.94
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,25.46,0.0,0.0,9.19,6.27
영업이익,60.72,60.69,76.48,20.90,14.38
영업이익(발표기준),60.72,60.69,76.48,20.90,14.38
금융수익,33.12,26.81,15.03,3.67,3.95
이자수익,2.56,4.16,2.83,0.60,0.68
배당금수익,3.37,1.92,3.12,0.83,0.62
외환이익,4.15,1.46,1.08,0.17,0.44
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.15,1.79,0.39,0.0,0.07
금융자산평가이익,0.35,11.51,7.16,2.08,1.78
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,21.54,5.98,0.46,0.0,0.37
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,42.42,21.11,43.38,1.81,7.01
이자비용,13.90,13.53,6.66,1.48,1.90
외환손실,2.48,0.76,0.09,0.14,0.04
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.04,1.07,0.04,0.0,0.02
금융자산평가손실,13.45,3.47,30.90,0.19,4.99
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,10.56,0.73,0.0,0.0,0.0
기타금융원가,0.0,1.54,5.69,-0.00,0.06
기타수익,25.36,16.92,1.81,1.08,0.44
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,22.59,15.69,0.19,0.0,0.13
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.36,1.20,1.16,0.25,0.30
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.41,0.03,0.47,0.83,0.02
기타비용,1.59,1.96,0.92,0.20,0.10
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.59,1.96,0.92,0.20,0.10
"종속기업,공동지배기업및관계기업관련손익",12.29,6.41,-11.22,-3.95,-1.32
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,-0.00,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,12.29,6.41,-11.22,-3.95,-1.32
세전계속사업이익,87.49,87.75,37.80,19.70,10.34
법인세비용,8.04,10.64,-3.23,2.88,-1.69
계속영업이익,79.44,77.10,41.03,16.82,12.03
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,79.44,77.10,41.03,16.82,12.03
지배주주순이익,79.45,77.58,40.67,15.21,12.06
비지배주주순이익,-0.01,-0.48,0.36,1.61,-0.04
