IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,743.75,549.29,714.89,149.74,164.69
매출원가,681.36,530.92,611.73,128.28,147.15
매출총이익,62.39,18.37,103.16,21.46,17.54
판매비와관리비,45.86,61.75,84.97,20.68,20.05
인건비,35.49,39.21,48.35,13.39,11.39
유무형자산상각비,2.47,2.97,5.35,1.62,0.99
연구개발비,0.02,9.43,17.83,2.46,4.03
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-1.17,0.02,0.02,0.00,0.00
관리비,9.02,10.06,13.39,3.19,3.64
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.05,0.04,0.01,0.01
영업이익,16.53,-43.38,18.19,0.78,-2.51
영업이익(발표기준),16.53,-43.38,18.19,0.78,-2.51
금융수익,5.40,8.87,49.32,2.80,3.66
이자수익,5.10,4.17,2.98,0.25,0.48
배당금수익,0.05,0.06,0.13,0.0,0.13
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.25,2.61,4.78,0.00,2.94
금융자산평가이익,0.0,0.72,2.32,0.68,0.10
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.32,27.66,0.19,0.0
기타금융수익,0.0,0.0,11.45,1.68,0.0
금융원가,25.19,20.80,45.16,7.52,6.19
이자비용,5.65,5.81,17.95,4.11,3.90
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.71,0.60,0.15,0.0
금융자산평가손실,7.93,7.83,6.56,3.26,2.29
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,11.61,6.45,20.05,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.65,13.81,22.31,0.41,21.18
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.20,0.13,0.14,0.01,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,12.32,21.27,0.0,21.14
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.16,0.09,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.20,1.28,0.91,0.40,0.04
기타비용,2.41,0.35,1.80,0.33,0.45
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.37,0.30,1.63,0.17,0.30
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.09,0.14,0.09
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.05,0.08,0.01,0.06
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-4.03,-41.84,42.86,-3.87,15.68
법인세비용,-1.72,0.05,4.67,0.85,-0.20
계속영업이익,-2.32,-41.89,38.19,-4.72,15.88
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-2.32,-41.89,38.19,-4.72,15.88
지배주주순이익,-2.32,-41.89,38.19,-4.72,15.88
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
