IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,119.79","1,628.09","1,734.04",414.15,400.95
매출원가,"1,020.38","1,494.74","1,589.30",376.36,362.19
매출총이익,99.42,133.36,144.75,37.79,38.77
판매비와관리비,95.86,113.59,132.53,33.18,33.37
인건비,39.42,51.24,64.17,15.35,15.29
유무형자산상각비,3.28,4.67,7.47,1.81,1.78
연구개발비,5.78,6.67,9.33,2.03,2.35
광고선전비,0.00,0.01,0.02,0.0,0.02
판매비,28.32,30.25,30.29,7.53,8.05
관리비,18.60,20.09,20.37,6.22,5.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.46,0.66,0.88,0.24,0.09
영업이익,3.56,19.77,12.21,4.61,5.40
영업이익(발표기준),3.56,19.77,12.21,4.61,5.40
금융수익,9.71,5.90,13.15,0.74,5.01
이자수익,11.32,3.04,2.33,0.29,0.72
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.39,2.85,10.48,0.45,4.29
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.02,0.0,0.33,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,-9.02,0.0,0.0,0.0,0.0
금융원가,15.44,14.64,15.40,3.66,5.26
이자비용,16.73,11.05,11.30,2.72,2.88
외환손실,8.97,3.59,4.11,0.94,2.38
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.26,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,-10.53,0.0,0.0,0.0,0.0
기타수익,51.14,40.72,7.39,0.71,5.58
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.74,0.79,0.76,0.12,0.07
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.02,0.02,0.02,0.01,0.01
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,6.63,1.21,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,50.38,33.28,5.39,0.59,5.50
기타비용,24.21,75.24,16.41,0.42,1.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,0.03,1.15,0.0,1.15
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,14.61,66.47,0.08,0.0,0.10
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,4.77,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.77,8.74,15.18,0.42,0.22
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,24.75,-23.50,0.94,1.98,9.26
법인세비용,0.23,-2.80,1.05,0.0,0.0
계속영업이익,24.53,-20.70,-0.11,1.98,9.26
중단영업이익,-91.34,-36.14,0.0,0.0,0.0
당기순이익,-66.81,-56.84,-0.11,1.98,9.26
지배주주순이익,-36.28,-58.37,-0.11,1.98,9.26
비지배주주순이익,-30.53,1.54,0.0,0.0,0.0
