IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,087.82","1,177.37","1,178.75",298.87,269.09
매출원가,586.11,648.10,623.47,152.59,144.36
매출총이익,501.71,529.27,555.28,146.28,124.73
판매비와관리비,300.76,365.47,421.95,113.65,90.47
인건비,93.51,106.35,112.39,26.55,27.17
유무형자산상각비,24.71,27.70,30.20,11.92,5.95
연구개발비,100.81,122.57,154.01,49.73,32.85
광고선전비,9.39,16.64,15.51,3.80,4.12
판매비,14.47,17.34,44.34,5.35,2.94
관리비,57.87,74.87,65.48,16.30,17.44
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,200.94,163.80,133.34,32.63,34.26
영업이익(발표기준),200.94,163.80,133.34,32.63,34.26
금융수익,1.86,2.77,8.24,1.01,1.43
이자수익,0.80,2.33,2.31,0.65,0.69
배당금수익,0.0,0.43,1.60,0.10,0.40
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,2.90,0.0,0.20
금융자산평가이익,0.0,0.01,1.43,0.26,0.13
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,1.06,0.00,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,13.67,18.86,22.57,6.37,5.56
이자비용,9.82,17.94,19.49,6.35,5.31
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.23,0.0,0.22
금융자산평가손실,0.0,0.92,2.85,0.01,0.02
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,3.84,0.00,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,33.39,28.22,47.28,22.79,10.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,31.12,27.64,43.19,22.74,10.01
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.13,0.04,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.15,0.0,0.21,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.03,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.99,0.52,3.88,0.04,0.01
기타비용,28.64,74.34,76.66,21.14,2.54
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,26.19,23.00,8.93,21.11,2.29
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.06,0.04,0.01,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.02,48.12,66.70,-0.05,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.97,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.42,3.16,0.99,0.06,0.24
"종속기업,공동지배기업및관계기업관련손익",0.0,0.58,-2.91,0.0,-0.50
지분법손익,0.0,0.58,-2.91,0.0,-0.50
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,193.88,102.17,86.72,28.93,37.11
법인세비용,16.52,-11.33,3.08,1.55,0.03
계속영업이익,177.36,113.50,83.64,27.37,37.08
중단영업이익,-11.08,-17.69,0.0,0.0,0.0
당기순이익,166.28,95.81,83.64,27.37,37.08
지배주주순이익,170.75,99.78,87.10,26.39,37.97
비지배주주순이익,-4.47,-3.97,-3.45,0.98,-0.89
