IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,319.01,333.38,361.03,47.06,58.22
매출원가,305.67,235.91,292.26,33.60,39.79
매출총이익,13.34,97.47,68.77,13.47,18.43
판매비와관리비,214.80,158.73,128.11,26.72,31.07
인건비,57.35,52.46,46.59,8.93,13.07
유무형자산상각비,7.07,1.39,1.78,0.15,0.40
연구개발비,28.75,22.48,27.63,5.19,6.13
광고선전비,0.32,0.51,0.48,0.0,0.0
판매비,34.52,28.05,25.04,3.90,5.71
관리비,86.78,53.83,26.58,8.55,5.76
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-201.46,-61.26,-59.33,-13.25,-12.64
영업이익(발표기준),-201.46,-61.26,-59.33,-13.25,-12.64
금융수익,17.20,25.80,18.04,33.29,6.40
이자수익,5.12,1.29,0.78,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.96,5.60,9.58,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.85,14.91,0.0,0.0,0.0
금융자산평가이익,0.26,3.09,1.05,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.55,3.58,0.0,0.0
기타금융수익,0.0,0.35,3.04,33.29,6.40
금융원가,49.32,73.09,80.47,16.98,29.33
이자비용,13.15,16.95,17.41,0.0,0.0
외환손실,4.26,1.67,1.06,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.54,0.0,0.11,0.0,0.0
금융자산평가손실,19.25,43.55,40.52,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,12.13,10.91,21.36,0.0,0.0
기타금융원가,0.0,0.0,0.0,16.98,29.33
기타수익,2.00,19.85,1.34,1.96,0.29
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,2.87,0.30,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.21,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,15.99,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.00,0.78,1.03,1.96,0.29
기타비용,133.48,66.85,132.58,0.22,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.37,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,132.65,10.42,20.41,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,111.77,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.46,56.42,0.40,0.22,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-365.07,-155.53,-253.01,4.79,-35.32
법인세비용,52.62,6.70,15.30,-2.07,-3.47
계속영업이익,-417.69,-162.23,-268.30,6.86,-31.84
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-417.69,-162.23,-268.30,6.86,-31.84
