IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,907.69","2,164.70","2,496.25",671.87,587.90
매출원가,"1,129.01","1,158.02","1,236.44",322.62,288.84
매출총이익,778.68,"1,006.68","1,259.81",349.25,299.07
판매비와관리비,660.44,894.84,"1,134.81",304.24,265.49
인건비,153.21,165.84,152.24,37.80,37.34
유무형자산상각비,18.43,20.29,20.04,4.63,4.61
연구개발비,50.38,40.44,41.28,9.49,13.42
광고선전비,2.25,2.05,2.47,0.74,0.63
판매비,-4.63,29.62,10.55,3.82,0.53
관리비,469.22,658.41,915.25,242.79,205.72
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,-28.42,-21.81,-7.03,4.96,3.24
영업이익,118.24,111.84,125.00,45.02,33.58
영업이익(발표기준),118.24,111.84,125.00,45.02,33.58
금융수익,4.75,23.52,10.19,2.15,1.48
이자수익,3.34,7.93,7.66,2.04,1.30
배당금수익,0.07,0.06,0.11,0.0,0.0
외환이익,1.30,0.88,2.15,0.08,0.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.04,0.0,0.0,0.03,0.0
금융자산평가이익,0.0,0.30,0.17,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,9.93,0.10,0.0,0.0
기타금융수익,0.0,4.43,0.0,0.0,0.0
금융원가,14.38,25.44,43.35,74.23,7.48
이자비용,13.43,24.18,26.76,6.00,5.83
외환손실,0.95,1.26,0.23,0.06,0.12
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,13.07,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,1.53
기타금융원가,0.0,0.0,3.29,68.18,0.0
기타수익,46.00,9.72,70.16,2.12,1.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.18,0.59,0.56,0.07,0.28
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,42.51,0.0,2.51,0.05,0.25
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.63,3.17,0.01,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.68,5.96,67.09,2.00,0.85
기타비용,15.41,13.51,46.12,1.58,0.28
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.50,0.18,1.21,0.70,0.19
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.20,0.47,1.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,8.01,0.63,0.26,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.34,0.28,8.54,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.37,11.96,35.10,0.88,0.08
"종속기업,공동지배기업및관계기업관련손익",-0.65,221.34,-547.47,-0.01,-2.92
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-0.65,221.34,-547.47,-0.01,-2.92
세전계속사업이익,138.55,327.47,-431.59,-26.55,25.77
법인세비용,14.28,30.69,-30.18,-1.82,10.06
계속영업이익,124.28,296.79,-401.41,-24.72,15.71
중단영업이익,-14.77,-12.87,8.60,0.0,3.99
당기순이익,109.51,283.92,-392.81,-24.72,19.70
지배주주순이익,95.61,262.11,-409.85,-28.66,13.47
비지배주주순이익,13.89,21.80,17.04,3.94,6.23
