IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"38,872.94","46,440.90","19,074.79","3,647.82","6,356.71"
매출원가,"35,358.91","47,837.26","23,709.54","4,848.60","8,194.94"
매출총이익,"3,514.02","-1,396.36","-4,634.75","-1,200.78","-1,838.24"
판매비와관리비,850.81,826.61,952.10,201.75,200.26
인건비,192.40,213.38,244.15,64.04,56.53
유무형자산상각비,24.37,29.65,40.47,13.11,8.93
연구개발비,329.40,283.22,359.25,76.30,74.88
광고선전비,2.20,2.92,3.71,7.85,2.29
판매비,44.66,37.66,142.13,5.80,7.95
관리비,256.72,258.32,162.05,34.63,49.53
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.08,1.46,0.33,0.02,0.15
영업이익,"2,663.21","-2,222.97","-5,586.85","-1,402.53","-2,038.50"
영업이익(발표기준),"2,663.21","-2,222.97","-5,586.85","-1,402.53","-2,038.50"
금융수익,764.64,487.49,"2,583.29",256.02,"1,078.67"
이자수익,47.16,88.98,58.46,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,376.08,404.85,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.47,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,22.44,51.07,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,716.01,0.0,966.36,0.0,0.0
기타금융수익,0.0,0.0,"1,102.55",256.02,"1,078.67"
금융원가,260.28,"1,058.39","2,444.27",300.13,589.59
이자비용,212.58,789.33,"1,063.98",0.0,0.0
외환손실,0.0,138.08,758.40,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,11.22,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,12.70,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,23.78,118.70,0.0,0.0,0.0
기타금융원가,0.0,12.28,621.89,300.13,589.59
기타수익,"2,177.03","1,388.78",619.22,62.45,185.89
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"2,146.85","1,369.74",604.37,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.0,0.55,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.02,0.02,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,30.15,19.03,14.28,62.45,185.89
기타비용,"1,939.25","1,549.73",364.86,67.78,127.24
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"1,905.78","1,537.25",363.73,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,11.31,4.48,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.17,0.87,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,19.17,2.78,0.84,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.81,4.35,0.28,67.78,127.24
"종속기업,공동지배기업및관계기업관련손익",0.0,-2.07,-1.60,-2.00,3.82
지분법손익,0.0,-2.07,-1.60,-2.00,3.82
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"3,405.36","-2,956.87","-5,195.07","-1,453.97","-1,486.94"
법인세비용,695.24,"-1,007.65","-1,387.78",-341.62,-370.01
계속영업이익,"2,710.12","-1,949.22","-3,807.29","-1,112.35","-1,116.93"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"2,710.12","-1,949.22","-3,807.29","-1,112.35","-1,116.93"
지배주주순이익,"2,699.73","-1,943.14","-3,779.38","-1,109.17","-1,115.40"
비지배주주순이익,10.39,-6.08,-27.91,-3.18,-1.54
