IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,375.87,345.48,337.13,67.28,68.87
매출원가,309.33,262.35,275.99,54.12,57.09
매출총이익,66.54,83.13,61.14,13.16,11.78
판매비와관리비,61.69,62.54,78.21,31.38,20.07
인건비,47.34,46.64,35.44,15.79,9.55
유무형자산상각비,3.65,6.57,4.41,0.99,1.47
연구개발비,5.44,6.12,4.70,1.37,0.64
광고선전비,0.08,0.0,0.0,0.0,0.04
판매비,-30.65,-38.09,-3.90,-0.94,-2.74
관리비,35.83,41.07,37.42,14.18,11.12
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.23,0.13,0.0,0.0
영업이익,4.85,20.59,-17.07,-18.23,-8.30
영업이익(발표기준),4.85,20.59,-17.07,-18.23,-8.30
금융수익,13.30,3.00,4.02,0.61,0.65
이자수익,3.16,1.87,2.42,0.53,0.51
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.14,1.03,1.14,0.08,0.14
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.11,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.46,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,33.06,13.28,5.84,1.02,1.41
이자비용,9.80,7.07,3.81,0.81,1.21
외환손실,1.48,0.98,1.79,0.21,0.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,4.22,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,21.78,0.0,0.03,0.0,0.0
기타금융원가,0.0,1.01,0.22,0.0,0.10
기타수익,94.09,24.35,14.40,0.51,5.85
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,11.58,5.66,2.95,0.30,1.42
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.89,14.52,3.34,0.12,4.21
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.66,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,10.10,2.75,7.68,0.0,0.0
충당부채환입액,64.42,0.0,0.0,0.0,0.0
기타,7.09,0.76,0.42,0.09,0.21
기타비용,22.08,25.28,8.98,0.27,0.97
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.26,1.78,0.96,0.17,0.12
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,2.15,0.77,0.0,0.63
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,6.71,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,19.50,20.00,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,1.35,0.54,0.10,0.22
"종속기업,공동지배기업및관계기업관련손익",-21.87,-0.70,-3.27,-1.90,-0.73
지분법손익,-0.40,-0.70,-3.27,-1.90,-0.73
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-21.47,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,35.23,8.68,-16.75,-20.30,-4.92
법인세비용,5.85,6.34,1.50,0.0,0.0
계속영업이익,29.38,2.35,-18.25,-20.30,-4.92
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,29.38,2.35,-18.25,-20.30,-4.92
지배주주순이익,29.38,2.35,-18.25,-20.30,-4.92
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
