IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,102.76,133.04,107.47,29.03,34.31
매출원가,52.04,83.72,77.73,17.17,21.48
매출총이익,50.71,49.32,29.74,11.86,12.83
판매비와관리비,47.47,48.08,51.51,12.56,12.34
인건비,20.29,21.84,23.22,4.97,5.42
유무형자산상각비,4.38,4.81,5.41,1.11,1.22
연구개발비,7.03,6.81,4.46,1.23,1.10
광고선전비,0.42,0.19,0.06,0.0,0.0
판매비,5.74,4.86,7.65,2.33,1.32
관리비,8.80,8.84,10.00,2.77,3.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.80,0.73,0.70,0.14,0.15
영업이익,3.25,1.24,-21.77,-0.70,0.49
영업이익(발표기준),3.25,1.24,-21.77,-0.70,0.49
금융수익,12.86,8.25,1.90,24.52,0.78
이자수익,4.04,1.57,1.41,0.76,0.25
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.06,0.15
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,6.91,2.00,0.0,0.0,0.0
금융자산평가이익,1.90,0.0,0.49,0.01,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,4.68,0.0,23.68,0.38
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.38,4.22,69.69,12.22,1.66
이자비용,0.31,3.68,3.22,8.17,1.17
외환손실,0.0,0.0,0.0,0.02,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.46,0.0,0.46
금융자산평가손실,9.07,0.54,4.90,4.03,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,61.11,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.40,0.54,0.75,11.25,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.21,0.15,0.58,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.38,0.13,0.0,0.0
자산평가이익,0.0,0.0,0.0,11.25,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.01,0.0,0.0
기타,0.19,0.00,0.03,0.00,0.00
기타비용,0.75,0.13,9.53,0.03,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.12,0.13,0.15,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.47,0.0,0.24,0.0,0.0
자산평가손실,0.0,0.0,1.38,0.0,0.0
자산손상차손,0.0,0.0,6.14,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.56,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.17,0.00,1.06,0.03,0.01
"종속기업,공동지배기업및관계기업관련손익",2.22,-30.91,-55.67,0.0,2.68
지분법손익,0.0,0.0,0.0,0.0,2.68
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,2.22,-30.91,-55.67,0.0,0.0
세전계속사업이익,8.59,-25.24,-154.01,22.82,2.28
법인세비용,-0.32,0.48,0.08,0.0,0.02
계속영업이익,8.91,-25.71,-154.09,22.82,2.26
중단영업이익,0.0,-2.16,-8.81,0.0,1.22
당기순이익,8.91,-27.87,-162.90,22.82,3.48
