IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"41,730.27","39,536.98","35,703.10","15,768.35","13,745.88"
매출원가,"44,642.57","35,402.26","31,373.98","12,299.14","11,437.24"
매출총이익,"-2,912.30","4,134.72","4,329.12","3,469.21","2,308.64"
판매비와관리비,"1,126.64",987.52,"1,049.70",231.42,223.12
인건비,526.93,447.64,485.83,111.62,108.51
유무형자산상각비,106.20,106.61,102.42,23.51,25.48
연구개발비,101.59,63.84,51.80,2.79,4.73
광고선전비,33.98,24.25,23.91,3.55,6.16
판매비,0.0,0.0,0.0,0.0,0.0
관리비,260.20,265.21,283.25,73.92,64.72
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,97.74,79.97,102.49,16.04,13.54
영업이익,"-4,038.94","3,147.20","3,279.42","3,237.78","2,085.52"
영업이익(발표기준),"-4,038.94","3,147.20","3,279.42","3,237.78","2,085.52"
금융수익,45.69,57.13,82.99,25.22,21.45
이자수익,45.69,57.13,82.99,25.22,21.45
배당금수익,0.01,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.00,0.0,0.0,0.0
금융원가,639.78,881.87,979.12,275.30,241.91
이자비용,639.78,881.87,979.12,275.30,241.91
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,"2,177.06",177.03,431.95,21.98,29.09
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,16.55,8.46,3.86,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,5.04,5.94,286.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,"1,981.46",0.0,0.0,0.0,0.0
파생상품이익,11.32,13.37,5.65,0.0,0.0
임대료수익,1.97,2.04,2.01,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.00,3.03,3.07,0.0,0.0
대손충당금환입,4.65,19.88,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,154.07,124.31,131.35,21.98,29.09
기타비용,125.42,178.84,206.84,11.76,38.45
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.81,13.25,3.29,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,54.07,64.23,136.04,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.65,0.21,0.20,0.0,0.0
파생상품손실,10.45,12.24,3.60,0.0,0.0
기타대손상각비,0.0,2.00,11.22,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,55.44,86.90,52.49,11.76,38.45
"종속기업,공동지배기업및관계기업관련손익",2.61,3.81,-1.32,4.22,0.83
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,2.61,3.81,-1.32,4.22,0.83
세전계속사업이익,"-2,578.78","2,324.46","2,607.09","3,002.14","1,856.54"
법인세비용,-738.99,330.60,508.39,667.28,432.03
계속영업이익,"-1,839.79","1,993.86","2,098.70","2,334.86","1,424.51"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-1,839.79","1,993.86","2,098.70","2,334.86","1,424.51"
지배주주순이익,"-1,838.75","1,994.04","2,101.67","2,334.86","1,424.56"
비지배주주순이익,-1.04,-0.18,-2.97,0.0,-0.06
