IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,820.19","1,729.02","1,585.12",378.19,412.16
매출원가,"1,763.05","1,665.52","1,529.11",365.92,396.90
매출총이익,57.14,63.50,56.02,12.27,15.26
판매비와관리비,164.78,155.55,156.21,33.44,32.07
인건비,64.82,67.79,80.95,13.46,14.21
유무형자산상각비,2.11,1.77,1.76,0.52,0.44
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.13,0.0,0.00,0.0,0.0
판매비,11.76,10.95,3.91,1.61,2.18
관리비,80.04,68.85,63.06,16.12,13.58
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.91,6.20,6.54,1.74,1.66
영업이익,-107.64,-92.05,-100.20,-21.16,-16.81
영업이익(발표기준),-107.64,-92.05,-100.20,-21.16,-16.81
금융수익,13.32,10.66,8.34,0.24,0.23
이자수익,0.16,0.23,0.28,0.24,0.23
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,13.16,10.42,8.05,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,69.15,106.62,87.06,16.33,24.80
이자비용,51.49,96.98,78.91,15.43,19.82
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.32,2.89,7.02,0.76,1.98
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,17.34,3.43,0.0,0.15,3.00
기타금융원가,0.0,3.32,1.13,0.0,0.0
기타수익,82.79,130.67,153.43,24.09,23.36
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,55.45,56.96,90.93,22.71,21.98
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,1.55,53.30,0.0,0.21
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,27.29,72.16,9.21,1.38,1.17
기타비용,52.23,36.49,68.84,13.80,12.67
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,51.05,25.31,60.86,13.73,12.15
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,6.70,6.38,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.10,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.12,4.48,1.49,0.07,0.53
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-132.91,-93.85,-94.32,-26.97,-30.70
법인세비용,-71.11,67.17,-0.18,-0.24,-0.63
계속영업이익,-61.80,-161.02,-94.14,-26.73,-30.07
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-61.80,-161.02,-94.14,-26.73,-30.07
지배주주순이익,-61.80,-161.02,-94.14,-26.73,-30.07
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
