IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,671.15,741.11,944.05,256.71,199.09
매출원가,410.60,452.93,573.61,171.67,123.14
매출총이익,260.54,288.18,370.44,85.04,75.95
판매비와관리비,195.96,208.05,258.38,70.66,58.24
인건비,106.35,106.15,131.87,37.94,29.10
유무형자산상각비,11.75,12.01,20.06,3.41,3.14
연구개발비,0.0,43.93,48.21,14.45,10.18
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,3.40,2.01,2.44,-0.96,0.50
관리비,28.94,26.12,33.58,9.21,9.20
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,45.52,17.84,22.23,6.60,6.12
영업이익,64.58,80.12,112.06,14.38,17.71
영업이익(발표기준),64.58,80.12,112.06,14.38,17.71
금융수익,4.41,5.79,6.21,1.73,1.47
이자수익,2.78,4.16,4.35,1.24,1.14
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.63,1.63,1.85,0.49,0.34
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,18.06,18.69,25.44,6.05,6.24
이자비용,11.30,15.50,20.45,5.57,3.90
외환손실,6.76,3.19,3.65,0.47,2.34
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,1.35,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.76,2.27,3.69,0.35,1.61
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.48,0.14,0.55,0.00,0.55
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.35,1.58,1.05,0.31,0.30
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.92,0.55,2.09,0.04,0.76
기타비용,5.68,0.07,24.43,0.09,0.17
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.02,0.32,0.03,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,4.82,0.0,22.54,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.82,0.05,1.57,0.07,0.16
"종속기업,공동지배기업및관계기업관련손익",0.24,0.31,0.16,-0.25,0.20
지분법손익,0.0,0.0,0.0,-0.25,0.20
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.24,0.31,0.16,0.0,0.0
세전계속사업이익,50.25,69.73,72.25,10.07,14.58
법인세비용,-4.84,7.66,18.94,2.92,1.59
계속영업이익,55.09,62.07,53.32,7.15,13.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,55.09,62.07,53.32,7.15,13.00
지배주주순이익,57.93,73.68,70.09,10.70,16.07
비지배주주순이익,-2.84,-11.61,-16.77,-3.55,-3.07
