IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,989.00,757.64,677.10,147.33,235.69
매출원가,715.57,600.91,474.96,107.67,132.57
매출총이익,273.43,156.73,202.14,39.66,103.12
판매비와관리비,258.78,242.76,238.84,54.15,55.40
인건비,88.16,116.99,121.78,29.39,27.68
유무형자산상각비,12.06,15.36,11.35,2.43,2.68
연구개발비,75.63,0.32,0.0,0.10,0.0
광고선전비,0.37,0.34,0.42,0.03,0.09
판매비,37.68,25.35,15.56,4.31,2.37
관리비,44.88,66.78,67.38,12.94,18.38
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,17.62,22.34,4.94,4.21
영업이익,14.65,-86.03,-36.70,-14.50,47.72
영업이익(발표기준),14.65,-86.03,-36.70,-14.50,47.72
금융수익,9.38,10.49,4.80,1.31,1.00
이자수익,9.38,10.49,4.80,1.31,1.00
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,31.73,33.31,20.66,4.65,5.84
이자비용,31.73,33.31,20.40,4.65,5.84
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.26,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,111.73,47.00,52.69,1.08,13.33
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.01,0.0,0.0
외환이익,96.83,41.41,48.73,1.86,14.87
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.11,0.0,0.0,0.0,0.01
자산처분(폐기)이익,6.61,1.25,0.16,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.05,1.86,2.11,0.23,0.53
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.07,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.13,2.48,1.67,-1.07,-2.09
기타비용,80.19,72.22,37.37,2.17,1.86
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,77.68,19.09,15.75,1.53,2.88
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.09,0.01,0.01,0.0
자산처분(폐기)손실,0.00,0.04,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,22.42,0.10,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.00,0.0,0.20,0.0,0.0
충당부채전입액,0.0,0.0,6.97,1.71,0.0
기타,2.51,30.58,14.35,-1.08,-1.02
"종속기업,공동지배기업및관계기업관련손익",11.42,16.06,5.62,3.38,1.63
지분법손익,11.42,16.06,5.62,3.38,1.63
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,35.25,-118.00,-31.62,-15.54,55.97
법인세비용,32.58,12.58,14.54,0.36,4.93
계속영업이익,2.67,-130.58,-46.16,-15.90,51.03
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,2.67,-130.58,-46.16,-15.90,51.03
지배주주순이익,2.67,-130.58,-46.16,-15.90,51.03
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
