IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,186.48,248.05,297.60,91.93,58.08
매출원가,163.62,193.90,238.49,73.60,48.81
매출총이익,22.87,54.15,59.10,18.33,9.27
판매비와관리비,67.73,59.17,50.96,11.89,16.98
인건비,30.63,30.91,24.32,5.89,6.97
유무형자산상각비,3.17,1.68,2.99,0.66,0.34
연구개발비,14.98,12.90,14.03,2.76,3.33
광고선전비,0.43,0.03,0.08,0.01,0.0
판매비,2.32,-0.88,0.74,0.49,0.39
관리비,16.20,14.52,8.80,2.09,5.94
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-44.86,-5.01,8.15,6.44,-7.71
영업이익(발표기준),-44.86,-5.01,8.15,6.44,-7.71
금융수익,0.72,5.27,6.69,0.18,1.68
이자수익,0.72,5.27,6.69,0.18,1.68
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.44,2.39,0.93,0.22,0.20
이자비용,6.44,2.39,0.93,0.22,0.20
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.75,8.55,4.23,3.29,0.50
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.14,0.62,1.04,3.23,0.50
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.30,0.14,0.01,0.0,0.0
자산평가이익,1.77,7.01,0.47,0.00,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.54,0.78,2.70,0.05,0.00
기타비용,5.42,2.19,3.91,0.04,0.50
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.31,0.65,0.20,0.04,0.09
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,3.21,0.0,0.0
자산평가손실,0.97,1.38,0.02,0.0,0.0
자산손상차손,4.15,0.0,0.05,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.16,0.42,0.0,0.41
"종속기업,공동지배기업및관계기업관련손익",-1.81,-0.97,6.76,0.70,0.0
지분법손익,-1.81,-0.97,6.76,0.70,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-54.07,3.24,20.98,10.35,-6.23
법인세비용,-36.89,2.07,1.06,-4.94,-0.29
계속영업이익,-17.18,1.17,19.92,15.29,-5.94
중단영업이익,97.72,21.71,-7.41,0.0,0.0
당기순이익,80.54,22.89,12.52,15.29,-5.94
지배주주순이익,80.72,19.99,11.09,14.38,-6.18
비지배주주순이익,-0.18,2.89,1.43,0.91,0.24
