IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,868.65","2,792.74","2,926.63",695.62,649.78
매출원가,"2,370.52","2,522.98","2,429.74",633.94,574.16
매출총이익,498.13,269.76,496.88,61.68,75.62
판매비와관리비,213.40,223.43,221.61,54.34,53.22
인건비,83.77,83.99,90.22,21.69,19.99
유무형자산상각비,16.27,15.51,14.69,3.58,3.78
연구개발비,0.32,0.38,0.19,0.01,0.05
광고선전비,8.27,8.60,7.30,1.73,1.90
판매비,35.70,42.78,39.36,10.86,9.68
관리비,68.17,71.20,69.81,16.49,17.82
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.91,0.97,0.03,0.00,0.00
영업이익,284.73,46.33,275.27,7.34,22.40
영업이익(발표기준),284.73,46.33,275.27,7.34,22.40
금융수익,51.18,48.12,49.27,11.47,11.43
이자수익,41.27,44.23,44.21,10.95,11.05
배당금수익,0.57,0.53,0.44,0.40,0.29
외환이익,0.76,1.06,1.62,0.04,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,8.58,2.28,2.87,0.07,0.07
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,64.65,113.04,106.64,23.61,26.14
이자비용,55.75,99.35,97.44,23.39,26.09
외환손실,1.20,1.40,3.38,0.16,0.0
대손상각비,0.0,0.64,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.03,0.71,0.06,0.0,0.01
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,7.66,10.95,5.76,0.06,0.05
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,62.76,66.40,37.17,12.92,11.46
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,33.22,51.17,23.82,5.91,8.75
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.62,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,28.92,15.23,13.35,7.01,2.71
기타비용,13.68,28.55,65.94,16.12,4.16
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.00,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,9.47,8.31,7.91,2.11,1.58
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.17,0.0,1.37,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.05,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.04,20.24,56.61,14.01,2.58
"종속기업,공동지배기업및관계기업관련손익",-1.70,-3.08,-3.32,-0.50,-1.29
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-1.70,-3.08,-3.32,-0.50,-1.29
세전계속사업이익,318.64,16.18,185.81,-8.51,13.69
법인세비용,53.57,-0.91,30.00,1.69,0.34
계속영업이익,265.07,17.09,155.81,-10.20,13.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,265.07,17.09,155.81,-10.20,13.35
지배주주순이익,249.98,15.49,150.64,-8.38,8.73
비지배주주순이익,15.09,1.60,5.17,-1.82,4.62
