IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,228.09,230.76,172.73,37.49,50.89
매출원가,185.58,183.56,146.67,31.56,41.07
매출총이익,42.52,47.21,26.06,5.93,9.82
판매비와관리비,51.70,81.88,120.81,35.66,40.18
인건비,22.45,28.53,47.69,8.25,9.87
유무형자산상각비,6.41,4.74,6.90,1.83,1.51
연구개발비,1.79,1.77,0.05,0.01,0.01
광고선전비,0.47,0.36,0.10,0.50,0.00
판매비,1.06,1.84,1.23,0.53,0.36
관리비,19.53,38.74,64.83,24.54,28.42
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,5.91,0.01,0.0,0.0
영업이익,-9.19,-34.67,-94.75,-29.73,-30.36
영업이익(발표기준),-9.19,-34.67,-94.75,-29.73,-30.36
금융수익,31.10,122.88,25.97,1.64,2.57
이자수익,4.93,10.80,5.36,0.75,1.67
배당금수익,0.0,0.00,0.0,0.0,0.0
외환이익,4.16,3.41,3.34,0.89,0.89
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.91,11.55,10.00,0.0,0.0
금융자산평가이익,1.00,21.22,7.26,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,16.40,75.90,0.0,0.0,0.0
기타금융수익,2.69,0.0,0.0,0.0,0.0
금융원가,121.99,135.68,26.52,0.44,12.37
이자비용,31.52,18.58,6.25,0.37,3.08
외환손실,4.78,5.48,3.62,0.08,2.20
대손상각비,0.0,27.23,2.18,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,11.55,0.0,0.0,0.0
금융자산평가손실,85.25,10.39,11.39,0.0,7.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.44,17.15,2.05,0.0,0.0
기타금융원가,0.0,45.31,1.05,0.0,0.0
기타수익,451.99,40.47,14.88,2.11,2.98
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.0,0.0,0.0
자산평가이익,0.0,0.07,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.11,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.59,0.62,0.87,0.27,0.35
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,35.23,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,451.40,4.54,13.91,1.84,2.63
기타비용,252.75,19.10,5.87,5.78,1.31
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.31,0.89,0.30,0.03,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,22.30,17.67,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.92,0.03,4.21,-0.18,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,228.22,0.51,1.37,5.92,1.31
"종속기업,공동지배기업및관계기업관련손익",-34.43,-1.08,-13.59,-11.66,-0.97
지분법손익,-34.43,-1.08,-13.59,-11.66,-0.97
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,64.73,-27.18,-99.87,-43.85,-39.48
법인세비용,13.29,-4.29,0.28,13.34,0.00
계속영업이익,51.44,-22.89,-100.15,-57.19,-39.48
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,51.44,-22.89,-100.15,-57.19,-39.48
지배주주순이익,51.87,-19.22,-97.94,-56.84,-38.93
비지배주주순이익,-0.43,-3.67,-2.21,-0.35,-0.55
