IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,313.85,330.66,366.77,132.45,75.43
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,313.85,330.66,366.77,132.45,75.43
판매비와관리비,299.11,317.95,345.37,98.84,76.20
인건비,134.08,142.94,178.30,55.24,39.81
유무형자산상각비,20.48,20.30,21.92,5.76,5.43
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,1.63,2.06,1.42,0.47,0.52
판매비,1.35,6.29,0.15,0.14,-0.54
관리비,118.44,124.76,109.96,20.84,26.98
기타원가성비용,23.08,21.51,33.57,16.31,3.93
기타,0.05,0.10,0.05,0.08,0.07
영업이익,14.75,12.71,21.40,33.60,-0.77
영업이익(발표기준),14.75,12.71,21.40,33.60,-0.77
금융수익,5.82,11.67,10.95,2.51,2.53
이자수익,5.76,11.31,10.91,2.51,2.53
배당금수익,0.07,0.04,0.03,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.33,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,-0.18,3.48,2.92,0.48,0.51
이자비용,0.76,1.48,1.99,0.48,0.51
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.06,0.0,0.93,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,-1.00,2.00,0.0,0.0,0.0
기타수익,1.11,1.10,1.88,0.53,0.65
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.38,0.41,0.39,0.04,0.02
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.49,0.03,0.70,0.40,0.61
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.05,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.24,0.66,0.74,0.10,0.02
기타비용,25.88,1.76,7.67,0.13,0.22
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.73,0.10,0.19,0.05,0.00
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.02,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,20.87,0.0,1.42,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.50,1.55,2.04,0.01,0.01
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.79,0.10,4.00,0.07,0.20
"종속기업,공동지배기업및관계기업관련손익",-13.08,23.64,27.51,-5.16,55.43
지분법손익,-13.08,13.64,27.51,-5.16,55.43
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,10.00,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-17.11,43.89,51.14,30.88,57.12
법인세비용,-4.80,11.30,19.48,5.23,12.01
계속영업이익,-12.31,32.59,31.66,25.66,45.11
중단영업이익,-4.79,-8.73,0.0,0.0,0.0
당기순이익,-17.09,23.86,31.66,25.66,45.11
지배주주순이익,-15.58,15.43,15.32,18.61,29.68
비지배주주순이익,-1.51,8.43,16.34,7.05,15.43
