IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,380.38","1,403.07","1,420.09",318.81,340.39
매출원가,"1,283.45","1,324.12","1,375.77",292.86,322.85
매출총이익,96.92,78.95,44.32,25.94,17.54
판매비와관리비,127.89,155.16,102.15,23.97,24.90
인건비,51.94,76.53,39.86,9.90,10.04
유무형자산상각비,1.53,1.55,1.58,0.43,0.39
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.50,0.50,0.50,0.0,0.0
판매비,46.37,42.38,38.68,8.75,9.08
관리비,21.57,28.52,17.64,3.71,5.57
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.98,5.67,3.88,1.18,-0.17
영업이익,-30.96,-76.21,-57.83,1.98,-7.36
영업이익(발표기준),-30.96,-76.21,-57.83,1.98,-7.36
금융수익,68.39,39.46,142.92,8.61,41.73
이자수익,14.07,25.72,26.99,5.49,6.82
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,54.33,13.34,115.93,3.12,34.91
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.40,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,43.76,9.37,7.98,2.19,1.16
이자비용,0.73,0.59,0.52,0.04,0.11
외환손실,42.58,8.78,7.46,2.15,1.05
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.46,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,35.15,37.30,15.24,10.55,11.31
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.13,0.13,0.15,0.17,0.12
외환이익,17.70,9.03,8.91,0.85,2.49
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.89,2.09,0.04,0.11,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,6.26,23.13,0.06,0.91,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,6.69,0.13,0.05,0.01,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.47,2.78,6.03,8.49,8.70
기타비용,122.84,10.32,6.91,1.62,0.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,8.79,6.83,1.43,0.85,0.21
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.52,0.44,0.02,0.0,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,111.19,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.34,3.05,5.46,0.77,0.25
"종속기업,공동지배기업및관계기업관련손익",35.42,38.21,30.90,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,35.42,38.21,30.90,0.0,0.0
세전계속사업이익,-58.61,19.08,116.35,17.33,44.04
법인세비용,0.94,-14.22,19.46,-0.45,-0.52
계속영업이익,-59.55,33.31,96.89,17.78,44.57
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-59.55,33.31,96.89,17.78,44.57
지배주주순이익,-59.55,33.31,96.89,17.78,44.57
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
