IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"7,295.48","6,659.26","7,104.82","1,768.64","1,721.75"
매출원가,"6,555.80","6,005.93","6,436.72","1,596.85","1,559.44"
매출총이익,739.68,653.33,668.11,171.79,162.31
판매비와관리비,266.61,313.47,326.72,73.22,77.18
인건비,191.05,218.24,209.18,53.18,49.09
유무형자산상각비,10.92,28.34,18.89,2.34,7.33
연구개발비,1.11,0.30,0.59,0.15,0.07
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,15.44,6.29,24.20,2.46,4.40
관리비,31.85,40.36,54.06,9.14,10.25
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,16.24,19.94,19.81,5.95,6.03
영업이익,473.07,339.86,341.38,98.56,85.14
영업이익(발표기준),473.07,339.86,341.38,98.56,85.14
금융수익,3.71,13.87,27.48,4.60,7.56
이자수익,3.71,13.87,27.48,4.60,7.56
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,39.16,70.08,86.56,18.88,20.97
이자비용,21.30,69.71,86.56,18.88,20.97
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,17.86,0.37,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,32.95,52.57,23.77,4.13,6.36
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,6.52,3.01,0.0,0.01,0.0
외환이익,22.95,12.22,20.16,3.78,4.80
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,13.78,0.24,0.0,0.0
자산처분(폐기)이익,0.08,0.01,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.00,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.39,23.56,3.37,0.33,1.56
기타비용,140.45,67.24,49.75,3.02,5.23
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,18.09,12.32,39.94,2.73,2.96
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,110.18,47.12,1.61,0.0,0.0
자산처분(폐기)손실,11.16,0.00,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.02,7.80,8.21,0.29,2.26
"종속기업,공동지배기업및관계기업관련손익",243.25,38.74,-2.15,-0.05,-1.13
지분법손익,243.25,38.74,-2.15,-0.05,-1.13
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,573.37,307.71,254.18,85.34,71.73
법인세비용,31.91,86.63,204.69,20.89,17.11
계속영업이익,541.46,221.08,49.49,64.45,54.62
중단영업이익,-100.63,-57.67,0.0,0.0,0.0
당기순이익,440.83,163.41,49.49,64.45,54.62
지배주주순이익,491.19,193.42,52.91,65.93,55.20
비지배주주순이익,-50.36,-30.01,-3.42,-1.48,-0.58
