IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,435.39,636.63,703.17,166.01,178.25
매출원가,364.67,525.16,584.01,138.93,146.45
매출총이익,70.71,111.48,119.16,27.08,31.80
판매비와관리비,44.83,63.34,79.33,20.25,18.47
인건비,13.58,27.16,31.33,8.00,6.93
유무형자산상각비,3.65,5.03,8.73,2.28,1.93
연구개발비,6.38,8.20,10.99,2.69,2.48
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,3.06,4.92,5.42,1.44,1.42
관리비,16.96,17.19,21.26,5.52,5.38
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.20,0.84,1.60,0.33,0.33
영업이익,25.89,48.14,39.82,6.83,13.33
영업이익(발표기준),25.89,48.14,39.82,6.83,13.33
금융수익,17.50,6.95,5.10,0.74,0.65
이자수익,5.15,3.26,1.08,0.58,0.18
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.00,0.00,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.06,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,3.57,0.0,0.0,0.0
금융자산평가이익,12.35,0.12,3.96,0.16,0.47
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,-45.81,3.12,1.67,18.20,0.09
이자비용,2.39,1.29,1.67,7.05,0.09
외환손실,0.00,0.00,0.00,0.0,0.0
대손상각비,-67.67,0.69,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,19.48,1.14,0.0,11.15,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.99,31.10,0.54,0.11,0.17
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.00,0.04,0.01,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.08,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.81,31.10,0.50,0.10,0.17
기타비용,-5.78,0.78,1.86,0.59,0.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.09,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-6.73,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.95,0.69,1.86,0.59,0.08
"종속기업,공동지배기업및관계기업관련손익",0.0,-0.23,-1.98,24.15,-0.83
지분법손익,0.0,-0.23,-1.98,24.15,-0.83
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,97.97,82.06,39.95,13.04,13.16
법인세비용,0.63,0.04,-6.03,0.0,0.0
계속영업이익,97.34,82.02,45.98,13.04,13.16
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,97.34,82.02,45.98,13.04,13.16
