IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,195.11,176.78,174.98,37.35,44.05
매출원가,144.71,129.26,130.46,32.70,35.29
매출총이익,50.40,47.51,44.52,4.66,8.76
판매비와관리비,49.03,48.42,46.99,12.54,11.53
인건비,30.67,30.71,29.54,7.70,6.97
유무형자산상각비,4.36,3.82,4.16,1.17,1.05
연구개발비,0.34,0.51,0.50,0.10,0.06
광고선전비,0.07,0.0,0.0,0.0,0.0
판매비,4.06,3.70,3.33,0.81,0.88
관리비,9.53,9.68,9.46,2.75,2.57
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,1.37,-0.90,-2.47,-7.89,-2.77
영업이익(발표기준),1.37,-0.90,-2.47,-7.89,-2.77
금융수익,26.03,33.42,27.26,5.39,8.35
이자수익,20.48,25.00,23.36,5.13,7.35
배당금수익,2.47,0.97,0.55,0.0,0.0
외환이익,0.71,0.39,1.55,0.15,0.89
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,4.77,1.67,0.0,0.0
금융자산평가이익,2.38,2.29,0.13,0.10,0.11
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,5.37,0.64,1.10,0.16,0.05
이자비용,0.21,0.20,0.19,0.02,0.05
외환손실,0.35,0.44,0.01,0.14,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.90,0.0,0.0
금융자산평가손실,4.81,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,45.56,0.25,2.43,5.20,1.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,45.19,0.02,2.12,0.0,1.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.16,0.02,0.08
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.37,0.23,0.15,5.18,0.02
기타비용,0.33,0.15,1.16,0.01,0.98
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.24,0.01,0.10,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.09,0.14,1.07,0.01,0.98
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,67.26,31.98,24.95,2.53,5.68
법인세비용,14.14,5.31,4.30,0.46,0.91
계속영업이익,53.12,26.67,20.66,2.08,4.77
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,53.12,26.67,20.66,2.08,4.77
