IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,993.00,669.51,946.40,217.55,173.03
매출원가,872.06,608.68,793.64,194.97,151.10
매출총이익,120.95,60.83,152.76,22.59,21.93
판매비와관리비,49.87,45.15,65.07,14.25,12.80
인건비,19.53,19.37,23.75,5.48,5.15
유무형자산상각비,1.66,1.94,2.46,0.70,0.55
연구개발비,9.35,7.59,15.51,3.27,1.67
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,9.98,7.66,13.06,2.62,3.12
관리비,7.99,7.16,8.75,1.69,2.02
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.36,1.41,1.54,0.50,0.28
영업이익,71.07,15.69,87.69,8.33,9.12
영업이익(발표기준),71.07,15.69,87.69,8.33,9.12
금융수익,17.65,19.51,10.99,3.99,0.90
이자수익,0.20,1.16,3.84,0.96,0.84
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.23,0.0,0.0,0.23,0.0
금융자산평가이익,0.00,0.08,0.87,0.12,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,17.21,18.27,6.28,2.69,0.06
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,23.81,27.20,27.84,2.97,9.10
이자비용,1.46,2.59,1.55,0.00,0.39
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,2.34,4.02,0.0,0.86,0.64
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,20.02,20.59,26.30,2.11,8.07
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,24.23,19.82,22.05,6.91,5.05
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,23.10,15.23,20.01,6.64,4.56
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.11,0.39,0.03,0.15
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,2.90,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.00,0.02,0.00,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.13,1.55,1.64,0.24,0.34
기타비용,15.00,13.88,8.16,7.22,0.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,14.76,13.82,7.66,7.14,0.68
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.06,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.00,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.19,0.06,0.44,0.07,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,74.13,13.93,84.72,9.05,5.17
법인세비용,12.93,-1.61,16.55,1.67,1.08
계속영업이익,61.20,15.54,68.17,7.38,4.09
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,61.20,15.54,68.17,7.38,4.09
