IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,555.74,626.38,325.99,101.62,69.49
매출원가,478.71,512.30,297.70,95.89,60.95
매출총이익,77.03,114.07,28.30,5.73,8.53
판매비와관리비,114.85,100.93,82.03,18.74,23.98
인건비,55.62,45.44,39.15,9.54,11.57
유무형자산상각비,7.14,4.10,2.79,0.68,0.86
연구개발비,17.44,15.25,16.03,3.85,4.68
광고선전비,5.20,2.15,0.16,0.04,0.0
판매비,1.56,1.39,1.28,0.28,0.23
관리비,27.91,32.61,22.62,4.34,6.64
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.00,0.00
영업이익,-37.83,13.14,-53.73,-13.00,-15.45
영업이익(발표기준),-37.83,13.14,-53.73,-13.00,-15.45
금융수익,39.30,35.60,41.74,2.19,16.10
이자수익,0.57,10.68,6.77,1.19,2.03
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,30.26,11.54,24.03,0.99,7.88
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.47,0.0,0.0,0.0,0.0
금융자산평가이익,0.32,0.03,0.05,0.01,0.03
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.68,13.36,10.89,0.0,6.16
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,22.68,28.48,21.43,2.30,9.11
이자비용,15.20,13.79,7.75,1.28,2.20
외환손실,7.48,7.42,3.00,1.02,0.58
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.58,0.03,0.0,0.02
기타금융원가,0.0,6.70,10.64,0.0,6.31
기타수익,12.80,24.20,12.08,0.17,1.94
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.07,3.47,0.41,0.10,0.20
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.63,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.07,0.09,0.05,0.01,0.02
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,13.05,9.00,0.0,1.51
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,10.03,7.59,2.62,0.06,0.21
기타비용,93.80,29.93,8.32,0.05,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.60,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,84.13,24.81,3.76,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.35,0.0,0.98,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.72,5.12,3.58,0.05,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-102.20,14.54,-29.66,-13.00,-6.54
법인세비용,6.65,-15.69,0.60,0.0,0.0
계속영업이익,-108.85,30.23,-30.26,-13.00,-6.54
중단영업이익,0.28,-2.98,-8.45,-0.48,-0.60
당기순이익,-108.57,27.25,-38.71,-13.47,-7.14
지배주주순이익,-108.57,27.25,-38.71,-13.47,-7.14
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
