IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,491.63,412.53,356.84,78.65,97.67
매출원가,425.02,358.05,332.58,81.52,90.87
매출총이익,66.61,54.47,24.26,-2.87,6.80
판매비와관리비,71.52,70.24,49.21,17.00,14.60
인건비,20.42,18.64,18.39,7.22,4.95
유무형자산상각비,2.15,1.91,2.07,0.60,0.50
연구개발비,0.04,0.06,0.0,0.0,0.00
광고선전비,0.18,0.13,0.28,0.0,0.0
판매비,32.46,32.02,12.88,5.89,5.18
관리비,16.27,17.44,15.56,3.29,3.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.04,0.02,0.00,0.00
영업이익,-4.91,-15.77,-24.95,-19.87,-7.80
영업이익(발표기준),-4.91,-15.77,-24.95,-19.87,-7.80
금융수익,14.01,26.37,26.61,5.70,6.80
이자수익,14.00,26.37,26.22,5.70,6.67
배당금수익,0.00,0.00,0.26,0.0,0.00
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.13,0.0,0.13
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.09,0.90,0.31,0.09,0.04
이자비용,0.07,0.10,0.31,0.04,0.04
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.02,0.80,0.0,0.04,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.42,6.97,7.39,1.27,1.47
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,1.28,1.60,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.02,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,4.14,4.37,4.63,1.12,1.14
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.16,0.06,0.0,0.0,0.0
기타,1.08,1.26,1.16,0.15,0.33
기타비용,0.01,0.19,33.02,2.39,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.18,0.06,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.01,2.13,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,30.83,2.39,0.0
기타,0.01,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",1.26,2.47,1.98,0.0,0.0
지분법손익,0.0,2.47,1.98,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,1.26,0.0,0.0,0.0,0.0
세전계속사업이익,15.67,18.96,-22.29,-15.38,0.43
법인세비용,3.07,3.62,2.30,0.91,0.83
계속영업이익,12.60,15.34,-24.59,-16.29,-0.40
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,12.60,15.34,-24.59,-16.29,-0.40
지배주주순이익,11.86,15.59,-4.76,-5.76,1.70
비지배주주순이익,0.75,-0.25,-19.83,-10.53,-2.10
