IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,552.00,792.43,784.14,232.15,180.02
매출원가,491.39,703.76,682.27,190.74,155.43
매출총이익,60.61,88.68,101.87,41.41,24.59
판매비와관리비,112.61,96.40,86.43,21.17,23.06
인건비,36.66,34.74,29.91,7.65,6.70
유무형자산상각비,17.32,5.05,4.95,0.94,1.26
연구개발비,31.59,33.16,28.35,7.49,7.37
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-2.06,10.19,4.24,-0.11,-0.02
관리비,18.02,15.72,15.37,4.60,5.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,11.08,-2.46,3.62,0.60,2.18
영업이익,-52.00,-7.72,15.43,20.23,1.53
영업이익(발표기준),-52.00,-7.72,15.43,20.23,1.53
금융수익,2.75,26.11,27.39,1.61,0.68
이자수익,1.32,1.58,5.79,0.68,0.41
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.34,0.0,0.27,0.0,0.27
금융자산평가이익,1.09,2.56,2.04,0.93,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,5.83,19.31,0.0,0.0
기타금융수익,0.0,16.14,0.0,0.0,0.0
금융원가,44.53,39.30,37.12,6.59,7.31
이자비용,29.96,32.37,32.95,6.58,7.31
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.00,0.0,0.0,0.0
금융자산평가손실,0.68,0.08,0.97,0.00,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.92,6.85,0.03,0.0,0.0
기타금융원가,3.97,0.0,3.17,0.0,0.0
기타수익,1.65,5.39,1.29,1.66,0.60
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.63,0.36,0.61,0.03,0.20
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.20,1.40,0.19,0.04,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,2.70,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.12
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,1.44,0.0
기타,0.82,0.93,0.48,0.16,0.27
기타비용,34.01,55.38,12.54,0.71,0.40
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.24,0.46,0.31,0.00,0.03
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.18,6.80,0.73,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,23.55,46.27,9.23,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,1.61,0.0,0.0,0.0,0.0
기타,3.44,1.86,2.26,0.70,0.38
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-126.13,-70.90,-5.53,16.21,-4.90
법인세비용,-8.05,-8.74,-11.58,0.21,-2.20
계속영업이익,-118.08,-62.16,6.05,16.00,-2.70
중단영업이익,-11.48,0.0,0.0,0.0,0.0
당기순이익,-129.55,-62.16,6.05,16.00,-2.70
지배주주순이익,-129.55,-62.16,6.05,16.00,-2.70
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
