IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,982.28","2,329.99","2,179.58",473.03,768.32
매출원가,"1,943.46","1,835.66","1,964.82",396.73,638.33
매출총이익,38.81,494.33,214.76,76.30,129.99
판매비와관리비,533.54,393.52,259.23,69.73,74.77
인건비,225.95,200.26,127.92,30.38,34.23
유무형자산상각비,68.90,38.64,15.63,3.27,1.85
연구개발비,74.21,28.95,34.20,9.15,7.81
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,34.59,37.34,25.29,4.38,8.63
관리비,94.71,87.09,55.26,22.29,21.02
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,35.17,1.24,0.93,0.25,1.24
영업이익,-494.72,100.81,-44.47,6.58,55.22
영업이익(발표기준),-494.72,100.81,-44.47,6.58,55.22
금융수익,210.95,120.51,225.66,14.25,47.33
이자수익,3.21,4.40,1.45,2.00,0.55
배당금수익,0.0,2.92,0.0,0.0,0.0
외환이익,123.24,73.71,88.32,11.91,37.59
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,84.50,33.59,133.34,0.34,6.54
기타금융수익,0.0,5.89,2.56,0.0,2.65
금융원가,252.88,257.26,295.10,31.01,83.75
이자비용,68.98,142.97,144.74,24.17,31.82
외환손실,134.24,74.42,94.56,6.81,32.59
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.01,0.0,0.0,0.04,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,49.65,39.88,53.34,0.0,11.00
기타금융원가,0.0,0.0,2.46,0.0,8.35
기타수익,50.01,126.46,459.53,8.96,2.29
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,17.08,86.62,431.99,0.66,0.82
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,29.36,3.79,1.66,0.88,0.12
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.57,36.05,25.88,7.43,1.36
기타비용,165.00,61.57,51.92,16.27,15.68
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,21.19,15.99,0.79,0.54,0.21
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,123.41,13.24,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,22.28,35.59,8.01,10.90
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,20.41,10.06,15.54,7.72,4.57
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-651.64,28.94,293.71,-17.49,5.40
법인세비용,136.74,10.03,30.59,2.51,-1.15
계속영업이익,-788.39,18.91,263.11,-20.00,6.56
중단영업이익,5.66,0.0,0.0,0.0,0.0
당기순이익,-782.73,18.91,263.11,-20.00,6.56
지배주주순이익,-779.18,24.25,267.73,-19.24,8.02
비지배주주순이익,-3.55,-5.34,-4.61,-0.76,-1.46
