IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,515.64,713.18,876.01,185.85,198.54
매출원가,301.28,399.97,421.94,89.85,99.43
매출총이익,214.37,313.21,454.07,96.01,99.11
판매비와관리비,268.73,287.35,425.54,121.03,91.99
인건비,104.82,91.86,118.20,37.48,26.75
유무형자산상각비,15.71,13.78,16.51,4.33,3.85
연구개발비,19.27,25.41,35.72,12.04,10.64
광고선전비,16.88,6.17,3.44,1.58,1.16
판매비,69.49,107.87,198.35,52.49,35.27
관리비,33.59,34.34,43.40,11.03,11.95
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.97,7.92,9.93,2.07,2.37
영업이익,-54.37,25.85,28.53,-25.03,7.12
영업이익(발표기준),-54.37,25.85,28.53,-25.03,7.12
금융수익,13.49,26.30,2.73,0.42,0.73
이자수익,8.41,3.45,1.70,0.40,0.60
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.39,0.03,0.08,0.02,0.02
대손충당금환입액,0.87,21.24,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.34,0.86,0.0,0.0
금융자산평가이익,1.81,1.24,0.08,0.0,0.11
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,1.02,0.0,0.0,0.0,0.0
금융원가,117.18,38.84,90.41,5.12,5.24
이자비용,52.71,29.04,22.54,5.10,4.63
외환손실,0.14,0.09,0.67,0.02,0.61
대손상각비,44.56,0.00,46.54,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.76,0.0,0.0,0.0,0.0
금융자산평가손실,17.06,9.70,0.87,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.94,0.0,19.80,0.0,0.0
기타수익,0.36,4.68,1.84,0.50,0.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.10,0.76,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.33,4.57,1.08,0.50,0.32
기타비용,63.31,11.37,33.42,0.04,3.34
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.06,6.07,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,52.52,0.29,10.54,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,9.73,5.01,22.88,0.04,3.34
"종속기업,공동지배기업및관계기업관련손익",-32.40,-28.21,-14.70,-8.26,-8.91
지분법손익,0.0,-28.21,-14.70,-8.26,-8.91
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-32.40,0.0,0.0,0.0,0.0
세전계속사업이익,-253.42,-21.58,-105.43,-37.52,-9.33
법인세비용,15.09,0.55,1.24,0.0,0.0
계속영업이익,-268.51,-22.14,-106.66,-37.52,-9.33
중단영업이익,-138.27,-11.43,6.84,-0.20,-0.54
당기순이익,-406.77,-33.57,-99.82,-37.72,-9.87
지배주주순이익,-399.06,-33.57,-99.82,-37.72,-9.87
비지배주주순이익,-7.72,0.0,0.0,0.0,0.0
