IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"13,550.56","12,639.44","12,371.98","2,983.03","2,921.77"
매출원가,"12,404.83","11,475.96","11,183.95","2,740.84","2,655.17"
매출총이익,"1,145.73","1,163.48","1,188.04",242.19,266.61
판매비와관리비,801.90,903.52,"1,035.99",234.43,237.31
인건비,297.69,298.89,331.02,88.15,81.69
유무형자산상각비,50.41,51.29,48.53,12.41,16.80
연구개발비,70.19,83.98,114.39,30.19,22.31
광고선전비,86.33,91.77,81.70,11.35,16.60
판매비,89.94,84.57,93.95,29.27,22.10
관리비,186.54,262.52,352.29,61.47,74.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,20.80,30.51,14.11,1.60,3.80
영업이익,343.83,259.96,152.05,7.75,29.29
영업이익(발표기준),343.83,259.96,152.05,7.75,29.29
금융수익,16.32,38.34,54.37,7.72,10.88
이자수익,15.72,38.34,43.65,7.02,10.88
배당금수익,0.60,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.28,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,10.73,0.41,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,50.15,60.92,54.81,18.84,12.62
이자비용,49.48,60.52,54.02,18.70,12.37
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.68,0.40,0.79,0.15,0.26
기타수익,563.01,283.97,407.61,129.85,99.84
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,537.96,267.83,361.57,124.07,95.84
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.90,1.34,4.38,1.15,0.27
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,3.23,8.58,0.13,0.01,0.00
기타,19.92,6.21,41.53,4.62,3.73
기타비용,551.52,302.15,313.03,127.33,73.78
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,539.13,286.90,275.20,123.76,71.92
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.73,3.22,1.21,0.69,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,23.27,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.42,0.14,0.05,0.16,0.00
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,10.24,11.89,13.31,2.72,1.85
"종속기업,공동지배기업및관계기업관련손익",-1.24,-1.91,-0.80,-1.05,-0.29
지분법손익,-1.24,-1.91,-0.80,-1.05,-0.29
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,320.26,217.29,245.39,-1.90,53.32
법인세비용,69.00,27.83,163.12,3.39,14.97
계속영업이익,251.26,189.46,82.27,-5.28,38.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,251.26,189.46,82.27,-5.28,38.35
지배주주순이익,218.22,155.81,47.43,-5.21,22.10
비지배주주순이익,33.04,33.65,34.83,-0.07,16.25
