IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,611.99,445.87,363.81,76.44,76.93
매출원가,305.35,274.31,241.74,48.67,49.40
매출총이익,306.64,171.56,122.07,27.77,27.54
판매비와관리비,399.29,230.63,159.81,37.00,49.95
인건비,62.82,53.12,52.88,11.69,16.94
유무형자산상각비,12.65,11.21,12.35,2.49,3.24
연구개발비,6.20,4.07,3.96,0.94,0.99
광고선전비,89.71,24.92,25.55,3.35,8.69
판매비,30.17,18.87,13.37,3.13,5.95
관리비,194.15,114.02,51.50,15.33,14.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.60,4.43,0.19,0.06,0.05
영업이익,-92.66,-59.08,-37.74,-9.23,-22.41
영업이익(발표기준),-92.66,-59.08,-37.74,-9.23,-22.41
금융수익,1.88,3.03,4.47,0.93,1.43
이자수익,1.52,2.85,4.21,0.91,1.25
배당금수익,0.06,0.03,0.05,0.0,0.0
외환이익,0.30,0.14,0.21,0.01,0.18
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.29,9.51,6.29,1.36,1.63
이자비용,7.15,9.41,6.23,1.35,1.62
외환손실,0.14,0.10,0.06,0.02,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.91,1.70,0.56,0.02,0.22
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.01,0.13,0.17,0.0,0.0
자산처분(폐기)이익,0.04,0.10,0.11,0.0,0.06
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.01,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.86,1.47,0.28,0.02,0.16
기타비용,20.12,2.20,19.18,0.11,0.22
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.41,0.00,0.02
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.22,0.22,0.10,0.07,0.04
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,10.93,0.01,5.25,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.62,0.25,3.60,0.00,0.0
충당부채전입액,0.0,1.43,3.09,0.0,0.0
기타,8.35,0.28,6.74,0.04,0.16
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-117.27,-66.06,-58.19,-9.76,-22.61
법인세비용,5.25,-0.03,1.55,0.0,0.0
계속영업이익,-122.52,-66.03,-59.73,-9.76,-22.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-122.52,-66.03,-59.73,-9.76,-22.61
지배주주순이익,-122.52,-66.03,-59.73,-9.76,-22.61
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
