IFRS(연결),2022/09,2023/09,2024/09,2025/03,전년동기
매출액,314.61,318.32,332.82,199.76,159.46
매출원가,170.92,186.58,209.20,99.72,103.67
매출총이익,143.69,131.74,123.62,100.05,55.78
판매비와관리비,120.24,127.89,143.83,80.09,68.74
인건비,65.40,64.16,69.56,37.04,36.88
유무형자산상각비,9.18,10.67,11.41,5.98,5.59
연구개발비,16.90,24.79,21.35,10.08,12.06
광고선전비,8.47,8.09,10.61,5.68,5.50
판매비,2.41,2.68,1.74,0.47,0.15
관리비,17.88,17.49,29.17,20.83,8.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,23.45,3.85,-20.21,19.96,-12.95
영업이익(발표기준),23.45,3.85,-20.21,19.96,-12.95
금융수익,0.38,2.55,1.92,1.05,0.76
이자수익,0.36,1.63,1.24,0.96,0.61
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.92,0.23,0.09,0.16
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.44,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.68,1.17,1.96,1.79,1.14
이자비용,0.57,0.71,1.77,1.10,0.96
외환손실,0.10,0.46,0.20,0.35,0.17
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.34,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.10,0.13,1.27,0.72,0.44
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.10,0.0,0.10
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.07,0.0,0.07
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.13,1.10,0.72,0.28
기타비용,1.35,0.86,3.60,0.14,1.43
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.15,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.04,1.37,0.00,0.04
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.05,0.01,0.0,0.01,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.30,0.66,2.23,0.13,1.39
"종속기업,공동지배기업및관계기업관련손익",-2.15,-11.99,-12.07,0.0,-3.03
지분법손익,-2.15,-11.99,-12.07,0.0,-3.03
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,19.74,-7.48,-34.66,19.80,-17.34
법인세비용,-1.77,-1.47,-6.66,3.05,-4.21
계속영업이익,21.51,-6.01,-28.00,16.75,-13.13
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,21.51,-6.01,-28.00,16.75,-13.13
지배주주순이익,21.51,-5.44,-28.00,16.89,-12.93
비지배주주순이익,0.0,-0.57,-0.00,-0.14,-0.20
