IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,264.62","1,152.76","1,084.54",188.81,288.90
매출원가,764.37,745.23,751.57,160.27,187.43
매출총이익,500.25,407.53,332.97,28.53,101.47
판매비와관리비,354.14,328.30,337.17,52.87,84.47
인건비,68.85,70.17,70.69,0.0,0.0
유무형자산상각비,40.01,37.23,41.29,0.0,0.0
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,14.70,14.39,21.13,0.0,0.0
판매비,132.84,116.74,117.65,0.0,0.0
관리비,97.56,89.56,86.24,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.19,0.21,0.16,52.87,84.47
영업이익,146.10,79.23,-4.20,-24.34,17.01
영업이익(발표기준),146.10,79.23,-4.20,-24.34,17.01
금융수익,1.55,1.95,0.99,0.19,0.26
이자수익,1.50,1.94,0.91,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.05,0.01,0.03,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.05,0.19,0.26
금융원가,55.67,69.29,83.01,21.12,19.93
이자비용,55.39,68.93,82.59,0.0,0.0
외환손실,0.15,0.21,0.30,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.13,0.15,0.11,21.12,19.93
기타수익,4.57,0.93,1.69,0.30,0.67
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.83,0.39,0.36,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.56,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.12,0.16,0.12,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.07,0.38,1.22,0.30,0.67
기타비용,23.47,76.87,142.57,7.01,0.62
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.54,0.42,0.75,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.93,1.87,0.0,0.0
자산처분(폐기)손실,2.03,0.97,1.17,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,20.27,67.04,136.96,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.33,0.10,0.99,0.0,0.0
기타,0.29,7.39,0.82,7.01,0.62
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,73.09,-64.06,-227.09,-51.98,-2.61
법인세비용,16.76,30.38,-21.06,0.0,0.0
계속영업이익,56.33,-94.43,-206.03,-51.98,-2.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,56.33,-94.43,-206.03,-51.98,-2.61
