IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,367.09","4,206.19","4,891.35","1,424.91",962.92
매출원가,"2,585.43","2,937.30","3,407.45","1,045.63",664.94
매출총이익,781.66,"1,268.89","1,483.90",379.28,297.98
판매비와관리비,737.04,914.53,"1,223.55",375.16,248.53
인건비,303.78,311.45,339.01,81.19,74.98
유무형자산상각비,56.56,55.12,53.21,6.72,13.52
연구개발비,12.24,51.70,63.11,17.03,15.33
광고선전비,116.84,131.17,189.33,61.06,30.07
판매비,11.56,8.76,7.03,-0.96,0.06
관리비,163.83,283.28,481.64,185.35,95.38
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,72.23,73.05,90.20,24.77,19.19
영업이익,44.62,354.36,260.35,4.12,49.45
영업이익(발표기준),44.62,354.36,260.35,4.12,49.45
금융수익,299.23,81.30,143.74,21.35,31.44
이자수익,12.11,23.46,22.10,8.06,8.43
배당금수익,0.0,0.0,0.0,0.0,1.85
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.36,7.00,4.23,0.67,0.31
금융자산평가이익,6.65,30.79,2.08,0.89,16.70
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,279.11,20.05,115.33,11.73,4.16
금융원가,210.21,142.26,122.82,28.48,24.48
이자비용,66.44,73.47,78.60,19.80,21.62
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,23.89,0.54,0.01,0.0,0.01
금융자산평가손실,110.03,5.72,44.02,5.30,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,9.85,62.54,0.18,3.38,2.85
기타수익,66.35,53.50,94.75,17.83,24.30
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,54.63,39.01,84.68,14.98,20.90
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.24,0.15,0.31,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,7.53,7.74,6.89,1.72,1.66
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.54,1.72,1.15,0.06,1.25
대손충당금환입,0.0,0.35,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.65,4.43,1.88,0.76,0.47
기타비용,115.30,36.27,125.51,17.74,3.52
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,74.72,26.42,9.51,17.45,1.75
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.25,0.24,0.00,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,32.12,6.50,105.67,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.87,0.18,7.18,0.04,1.53
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.35,2.92,3.15,0.25,0.24
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,84.69,310.63,250.52,-2.93,77.19
법인세비용,39.55,64.84,60.47,10.44,23.66
계속영업이익,45.14,245.79,190.04,-13.36,53.53
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,45.14,245.79,190.04,-13.36,53.53
지배주주순이익,33.52,155.91,109.27,-18.81,31.87
비지배주주순이익,11.63,89.87,80.77,5.45,21.66
