IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"8,445.83","9,539.51","10,450.49","3,041.40","2,324.04"
매출원가,"6,400.28","6,775.80","7,697.93","2,184.59","1,750.13"
매출총이익,"2,045.54","2,763.72","2,752.56",856.82,573.91
판매비와관리비,"2,516.30","2,859.39","3,349.40",981.91,699.56
인건비,"1,020.50","1,091.11","1,195.37",345.42,272.01
유무형자산상각비,148.69,203.17,283.12,102.94,54.32
연구개발비,143.59,146.14,159.83,44.84,33.83
광고선전비,54.72,58.24,69.75,17.36,14.25
판매비,53.17,64.28,89.79,-0.29,17.39
관리비,"1,065.59","1,252.86","1,495.85",455.16,296.82
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,30.04,43.60,55.68,16.47,10.92
영업이익,-470.76,-95.67,-596.84,-125.09,-125.65
영업이익(발표기준),-470.76,-95.67,-596.84,-125.09,-125.65
금융수익,270.44,547.80,624.07,40.67,62.97
이자수익,65.93,129.23,104.42,29.85,24.23
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,84.41,39.60,199.95,7.91,34.17
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.15,0.0,0.42,0.0,0.0
금융자산평가이익,0.70,12.58,0.87,0.53,2.29
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,93.85,64.55,299.85,2.23,2.02
기타금융수익,23.40,301.83,18.56,0.15,0.26
금융원가,304.75,384.10,485.68,153.46,77.99
이자비용,208.68,291.01,371.65,137.62,72.62
외환손실,30.16,22.49,21.40,11.55,4.84
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.89,0.66,0.0
금융자산평가손실,65.04,2.06,3.32,0.17,0.53
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,66.81,73.35,0.83,0.0
기타금융원가,0.86,1.72,15.06,2.63,0.0
기타수익,20.99,36.58,437.46,3.47,6.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.25,0.27,2.23,0.05,0.03
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.31,0.30,220.19,0.13,0.23
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,3.29,0.76,4.72,0.83,0.42
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,1.42,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,14.13,33.83,210.31,2.46,5.54
기타비용,221.25,100.91,46.60,1.89,16.84
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.08,2.08,2.73,0.28,0.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.93,0.57,1.15,0.56,0.37
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,3.29,4.54,11.32,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,65.93,0.0,2.90,0.42,0.41
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,150.03,93.72,28.49,0.63,16.03
"종속기업,공동지배기업및관계기업관련손익",-7.70,28.19,5.55,-3.25,-2.89
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-7.70,28.19,5.55,-3.25,-2.89
세전계속사업이익,-713.02,31.88,-62.04,-239.56,-154.19
법인세비용,-16.43,87.48,83.46,30.20,7.68
계속영업이익,-696.59,-55.60,-145.50,-269.76,-161.87
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-696.59,-55.60,-145.50,-269.76,-161.87
지배주주순이익,-475.43,-84.31,-80.54,-208.04,-145.99
비지배주주순이익,-221.16,28.71,-64.96,-61.72,-15.88
