IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,72.45,56.58,56.81,16.19,11.81
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,72.45,56.58,56.81,16.19,11.81
판매비와관리비,161.33,95.05,97.03,21.20,25.15
인건비,110.91,63.52,60.80,15.08,16.24
유무형자산상각비,9.48,8.71,8.52,0.77,2.55
연구개발비,0.70,0.15,0.24,0.04,0.04
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.45,0.81,2.39,0.13,0.0
관리비,34.51,19.96,21.67,4.75,5.89
기타원가성비용,1.59,0.04,0.0,0.0,-0.04
기타,3.69,1.86,3.41,0.42,0.46
영업이익,-88.89,-38.47,-40.22,-5.01,-13.34
영업이익(발표기준),-88.89,-38.47,-40.22,-5.01,-13.34
금융수익,59.55,36.97,17.57,7.36,1.81
이자수익,6.77,10.49,6.66,1.75,1.81
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.00,0.01,0.03,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.99,0.0,1.52,0.0
금융자산평가이익,45.32,1.74,3.25,4.06,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.37,23.74,5.10,0.0,0.0
기타금융수익,0.09,0.00,2.56,0.0,0.0
금융원가,35.71,95.96,66.69,2.21,6.12
이자비용,11.10,14.00,15.98,1.25,6.12
외환손실,0.00,0.02,0.0,0.00,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.95,0.0,0.0
금융자산평가손실,24.61,74.79,47.34,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,7.17,0.0,0.0,0.0
기타금융원가,0.0,0.0,2.42,0.96,0.0
기타수익,11.78,8.62,14.68,1.75,0.39
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.79,1.26,2.34,0.43,0.32
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.04,3.72,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,1.76,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,7.58,0.0,0.0,0.0,0.0
대손충당금환입,0.0,1.16,5.21,1.14,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.40,6.17,1.65,0.19,0.07
기타비용,49.66,64.69,34.14,2.26,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.59,1.28,2.52,0.53,0.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.18,0.15,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,37.01,3.74,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,10.70,58.78,17.39,1.73,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.33,0.72,14.07,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",-60.97,-46.84,-49.47,-1.41,-16.07
지분법손익,0.0,-46.84,-49.47,-1.41,-16.07
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-60.97,0.0,0.0,0.0,0.0
세전계속사업이익,-163.89,-200.37,-158.27,-1.78,-33.36
법인세비용,0.06,0.84,0.59,0.09,0.0
계속영업이익,-163.95,-201.21,-158.86,-1.87,-33.36
중단영업이익,-17.40,-63.88,26.12,0.0,0.0
당기순이익,-181.35,-265.09,-132.74,-1.87,-33.36
지배주주순이익,-178.17,-259.74,-130.32,-1.87,-32.58
비지배주주순이익,-3.18,-5.35,-2.42,0.0,-0.78
