IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,372.92,326.31,413.41,112.46,89.87
매출원가,248.12,307.32,387.84,100.16,91.07
매출총이익,124.80,18.99,25.57,12.30,-1.20
판매비와관리비,116.80,100.86,114.36,26.50,24.16
인건비,67.18,60.26,60.32,15.68,15.05
유무형자산상각비,6.40,7.84,6.05,1.59,1.49
연구개발비,0.0,4.54,6.94,1.24,-1.09
광고선전비,0.72,1.37,1.22,0.73,0.47
판매비,15.25,-2.07,10.83,0.16,0.43
관리비,25.58,26.70,27.59,6.47,7.31
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.67,2.23,1.41,0.63,0.51
영업이익,8.00,-81.87,-88.79,-14.20,-25.36
영업이익(발표기준),8.00,-81.87,-88.79,-14.20,-25.36
금융수익,21.44,39.83,86.62,3.28,7.39
이자수익,5.98,10.30,12.62,2.43,3.53
배당금수익,0.14,0.23,4.27,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,15.12,1.65,3.06,0.83,0.68
금융자산평가이익,0.20,1.80,0.54,0.02,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,25.85,61.45,0.0,1.08
기타금융수익,0.0,0.0,4.67,0.0,2.05
금융원가,36.01,71.36,89.87,13.27,11.97
이자비용,20.15,37.64,50.86,13.25,11.90
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.60,3.32,16.02,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,14.82,30.10,22.99,0.0,0.0
기타금융원가,0.44,0.29,0.0,0.02,0.08
기타수익,2.71,1.85,6.14,1.21,4.65
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.65,1.21,2.68,0.62,0.81
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.12,0.01,0.03,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,2.59,0.0,3.57
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.05,0.53,0.86,0.57,0.27
기타비용,2.41,6.76,2.16,0.83,0.84
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.44,1.30,1.03,0.75,0.33
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.80,0.15,0.24,0.08,0.21
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,4.89,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.17,0.42,0.89,0.01,0.30
"종속기업,공동지배기업및관계기업관련손익",-0.17,-0.04,-0.16,0.02,0.44
지분법손익,-0.17,-0.04,-0.16,0.02,0.44
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-6.44,-118.33,-88.22,-23.79,-25.69
법인세비용,-7.09,-28.83,38.36,-3.22,0.32
계속영업이익,0.65,-89.50,-126.57,-20.57,-26.01
중단영업이익,14.47,0.0,0.0,0.0,0.0
당기순이익,15.12,-89.50,-126.57,-20.57,-26.01
지배주주순이익,27.25,-48.78,-64.27,-14.78,-12.93
비지배주주순이익,-12.14,-40.73,-62.30,-5.79,-13.09
