IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,420.90","1,496.06","1,328.09",365.98,312.85
매출원가,"1,023.05","1,119.49","1,004.31",287.15,238.14
매출총이익,397.85,376.57,323.79,78.83,74.71
판매비와관리비,167.53,202.25,259.13,51.06,47.09
인건비,57.56,61.78,63.06,15.96,15.72
유무형자산상각비,5.89,6.49,13.60,1.85,2.18
연구개발비,65.32,75.61,78.07,17.29,15.58
광고선전비,3.74,8.44,13.62,2.16,3.02
판매비,-10.28,1.12,43.60,2.37,0.11
관리비,38.00,36.84,38.27,9.04,8.50
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.30,11.97,8.91,2.38,1.97
영업이익,230.31,174.32,64.66,27.77,27.62
영업이익(발표기준),230.31,174.32,64.66,27.77,27.62
금융수익,53.22,45.14,53.44,10.02,13.24
이자수익,4.10,4.12,5.27,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,33.99,25.56,41.96,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,1.44,0.0,0.0
금융자산평가이익,0.30,3.44,0.07,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,14.83,12.02,4.71,0.0,0.0
기타금융수익,0.0,0.0,0.0,10.02,13.24
금융원가,89.00,65.72,65.25,15.26,13.78
이자비용,24.03,42.60,47.10,0.0,0.0
외환손실,26.53,18.33,11.73,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.04,0.0,0.0
금융자산평가손실,4.50,0.03,0.37,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,33.93,4.76,6.01,0.0,0.0
기타금융원가,0.0,0.0,0.0,15.26,13.78
기타수익,5.85,36.89,4.69,23.80,2.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.28,0.04,0.11,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.64,0.84,0.91,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.93,36.01,3.67,23.80,2.14
기타비용,1.28,1.45,3.87,2.24,0.29
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.59,0.24,1.47,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.24,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.43,0.11,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.62,1.17,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.25,0.24,1.24,2.24,0.29
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,199.12,189.18,53.67,44.09,28.94
법인세비용,49.96,21.93,13.21,8.21,3.43
계속영업이익,149.16,167.25,40.45,35.88,25.52
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,149.16,167.25,40.45,35.88,25.52
지배주주순이익,149.98,168.47,41.18,36.07,25.81
비지배주주순이익,-0.81,-1.22,-0.73,-0.19,-0.29
