IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,101.02,124.62,128.89,31.39,25.77
매출원가,41.74,44.00,47.28,11.01,11.20
매출총이익,59.27,80.62,81.61,20.39,14.57
판매비와관리비,112.16,132.04,132.30,34.16,41.45
인건비,34.71,39.97,30.44,7.15,9.90
유무형자산상각비,10.18,14.50,9.87,2.25,2.67
연구개발비,38.37,43.88,57.55,16.84,22.90
광고선전비,1.47,2.08,1.81,0.29,0.42
판매비,3.07,-0.01,0.64,0.14,-0.31
관리비,24.21,31.32,31.97,7.49,5.84
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.15,0.30,0.02,0.00,0.02
영업이익,-52.89,-51.42,-50.69,-13.77,-26.88
영업이익(발표기준),-52.89,-51.42,-50.69,-13.77,-26.88
금융수익,27.24,70.18,59.88,1.25,5.53
이자수익,19.90,31.35,14.96,1.25,5.53
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,7.14,0.0,0.0,0.0,0.0
금융자산평가이익,0.19,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,38.83,44.91,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,53.88,32.61,59.83,6.63,8.52
이자비용,30.66,32.61,31.33,6.63,8.52
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.12,0.0,0.0,0.0,0.0
금융자산평가손실,6.80,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,16.29,0.0,27.24,0.0,0.0
기타금융원가,0.0,0.0,1.26,0.0,0.0
기타수익,0.67,0.37,4.59,0.17,2.65
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.42,0.15,1.71,0.00,0.50
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,2.50,0.02,2.08
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.03,0.03,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.25,0.22,0.33,0.12,0.06
기타비용,2.01,0.08,2.10,1.62,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.00,0.0,0.04,0.01
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,1.97,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.01,0.07,0.13,1.59,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-71.12,-3.59,-8.26
지분법손익,0.0,0.0,-22.29,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,-48.83,0.0,0.0
기타,0.0,0.0,0.0,-3.59,-8.26
세전계속사업이익,-80.87,-13.56,-119.28,-24.20,-35.49
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-80.87,-13.56,-119.28,-24.20,-35.49
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-80.87,-13.56,-119.28,-24.20,-35.49
