IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,566.84,401.70,931.18,117.34,632.14
매출원가,508.27,589.61,578.25,104.16,400.08
매출총이익,58.58,-187.91,352.93,13.18,232.06
판매비와관리비,90.52,95.04,107.68,27.30,32.52
인건비,58.06,60.90,82.36,21.11,25.86
유무형자산상각비,5.82,6.66,6.54,1.64,1.63
연구개발비,0.0,0.38,0.69,0.0,0.0
광고선전비,0.61,0.02,0.04,0.02,0.03
판매비,0.37,4.46,-0.04,0.17,-0.11
관리비,20.86,22.62,18.08,4.19,4.89
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.80,0.0,0.0,0.17,0.22
영업이익,-31.94,-282.95,245.24,-14.12,199.54
영업이익(발표기준),-31.94,-282.95,245.24,-14.12,199.54
금융수익,6.83,9.35,9.09,1.39,2.12
이자수익,6.58,9.34,9.09,1.39,2.12
배당금수익,0.24,0.01,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.11,1.39,0.88,0.20,0.25
이자비용,1.11,1.39,0.88,0.20,0.25
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,10.27,14.07,20.57,5.41,6.86
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.84,1.02,0.98,0.00,0.26
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,7.43,5.72,18.12,3.40,4.76
자산처분(폐기)이익,0.0,0.05,0.02,0.0,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.14,1.33,0.0,0.10
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.00,7.14,0.12,2.00,1.72
기타비용,9.98,41.51,15.08,4.69,1.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.27,0.21,0.02,0.20,0.00
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,7.25,10.20,6.88,4.27,1.01
자산처분(폐기)손실,0.00,0.09,0.0,0.05,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.39,30.98,7.11,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.02,1.07,0.17,0.00
"종속기업,공동지배기업및관계기업관련손익",-2.49,-6.94,1.51,-0.06,2.49
지분법손익,-2.49,-6.94,1.51,-0.06,2.49
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-28.42,-309.37,260.46,-12.27,209.75
법인세비용,-7.17,-6.38,-13.82,2.23,8.97
계속영업이익,-21.25,-303.00,274.28,-14.50,200.77
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-21.25,-303.00,274.28,-14.50,200.77
지배주주순이익,-21.25,-303.00,274.28,-14.50,200.77
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
