IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,485.81,457.46,475.77,116.35,110.33
매출원가,372.16,335.36,349.72,93.28,83.76
매출총이익,113.65,122.10,126.06,23.07,26.57
판매비와관리비,90.41,91.10,106.39,32.88,26.03
인건비,42.87,51.34,55.55,15.98,14.17
유무형자산상각비,8.65,8.17,9.15,1.42,2.33
연구개발비,7.65,8.37,11.22,9.41,2.55
광고선전비,0.59,0.53,0.78,0.11,0.11
판매비,2.12,1.24,3.05,0.24,0.42
관리비,28.52,21.45,26.65,5.72,6.45
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,23.25,31.00,19.66,-9.81,0.54
영업이익(발표기준),23.25,31.00,19.66,-9.81,0.54
금융수익,2.20,3.58,5.36,1.46,1.01
이자수익,1.79,3.26,5.00,1.41,0.88
배당금수익,0.37,0.31,0.0,0.0,0.0
외환이익,0.0,0.01,0.33,0.01,0.11
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.04,0.0,0.02,0.04,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.18,1.63,1.00,0.13,0.20
이자비용,2.18,1.56,0.90,0.11,0.19
외환손실,0.0,0.07,0.10,0.02,0.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.21,0.36,0.01,0.01,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.08,0.0,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.20,0.28,0.01,0.00,0.00
기타비용,2.53,0.95,0.67,0.14,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.01,0.0,0.04,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.94,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.53,0.94,0.67,0.10,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,20.94,32.36,23.36,-8.61,1.31
법인세비용,-0.04,-12.66,1.38,-0.02,0.27
계속영업이익,20.98,45.03,21.98,-8.59,1.04
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,20.98,45.03,21.98,-8.59,1.04
지배주주순이익,20.98,45.03,21.98,-8.59,1.04
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
