IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,818.59,471.60,495.06,28.67,81.66
매출원가,598.60,382.46,423.79,26.49,72.48
매출총이익,219.99,89.15,71.27,2.18,9.18
판매비와관리비,69.28,59.55,64.89,20.41,15.14
인건비,44.61,37.42,42.75,13.65,9.92
유무형자산상각비,3.93,5.14,5.03,1.26,1.32
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.46,0.55,0.45,0.07,0.09
관리비,12.52,10.30,12.44,4.28,2.84
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.75,6.14,4.21,1.15,0.97
영업이익,150.71,29.60,6.38,-18.23,-5.96
영업이익(발표기준),150.71,29.60,6.38,-18.23,-5.96
금융수익,12.79,25.14,21.65,9.59,9.42
이자수익,5.91,12.74,18.55,3.43,3.79
배당금수익,1.21,2.14,1.61,0.59,0.76
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,-1.00,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.45,0.49,1.36,0.0,0.0
금융자산평가이익,5.22,9.76,0.12,6.56,4.86
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.15,8.34,21.15,-0.31,5.19
이자비용,4.37,5.71,6.61,1.40,1.77
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,-0.11,0.20,0.0,-1.77,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.65,1.48,11.71,0.06,0.58
금융자산평가손실,10.24,0.88,2.83,0.0,2.83
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.07,0.0,0.0,0.0
기타수익,34.08,14.94,38.38,2.09,7.70
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,29.78,11.32,35.81,1.59,7.38
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,0.03,0.22,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.30,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.25,3.59,2.05,0.49,0.33
기타비용,12.41,6.24,3.34,1.12,3.53
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,12.03,6.18,0.47,1.12,3.52
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.07,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,2.83,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.31,0.06,0.05,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,170.01,55.09,41.91,-7.36,2.45
법인세비용,19.62,0.17,0.18,-0.00,0.17
계속영업이익,150.40,54.92,41.73,-7.36,2.28
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,150.40,54.92,41.73,-7.36,2.28
지배주주순이익,150.40,54.92,41.81,-7.36,2.28
비지배주주순이익,0.0,0.0,-0.08,0.0,0.0
